time,A,B
0.000000000000000000e+00,"(-11.9194, -10.0754)","(1.0, 1.0)"
1.000000000000000056e-01,"(-12.0684, -12.3)","(1.6725, 1.7538)"
2.000000000000000111e-01,"(-13.8766, -14.1976)","(3.4508, 3.6692)"
3.000000000000000444e-01,"(-11.8832, -11.2564)","(7.6965, 8.2169)"
4.000000000000000222e-01,"(-9.0666, -8.4749)","(15.1709, 16.0334)"
5.000000000000000000e-01,"(-9.3503, -9.5526)","(14.7516, 14.5042)"
6.000000000000000888e-01,"(-12.6235, -13.4544)","(6.4306, 5.1843)"
7.000000000000000666e-01,"(-14.4779, -14.748)","(2.4769, 1.5921)"
8.000000000000000444e-01,"(-11.0273, -10.047)","(2.2905, 1.1467)"
9.000000000000000222e-01,"(-7.9829, -7.4126)","(3.9362, 1.874)"
1.000000000000000000e+00,"(-9.1457, -9.5716)","(7.8507, 3.7505)"
1.100000000000000089e+00,"(-13.6593, -14.7854)","(15.5678, 7.4145)"
1.200000000000000178e+00,"(-15.139, -15.2082)","(20.6454, 9.3934)"
1.300000000000000044e+00,"(-9.9762, -8.5795)","(11.5526, 4.3922)"
1.400000000000000133e+00,"(-6.6812, -6.1392)","(4.3165, 1.3063)"
1.500000000000000000e+00,"(-8.6061, -9.2253)","(1.1865, 0.3046)"
1.600000000000000089e+00,"(-14.607, -16.1174)","(0.3371, 0.0575)"
1.700000000000000178e+00,"(-16.1757, -16.1188)","(0.4253, 0.0373)"
1.800000000000000044e+00,"(-9.1199, -7.1774)","(0.94, 0.0757)"
1.900000000000000133e+00,"(-4.9452, -4.3032)","(2.33, 0.1915)"
2.000000000000000000e+00,"(-6.7127, -7.3083)","(6.1361, 0.5126)"
2.100000000000000089e+00,"(-13.8389, -15.7192)","(15.9311, 1.3179)"
2.200000000000000178e+00,"(-19.0964, -19.8845)","(28.2564, 1.9422)"
2.300000000000000266e+00,"(-10.0944, -7.1711)","(14.3878, -0.322)"
2.400000000000000355e+00,"(-3.4627, -2.0561)","(6.2016, -1.1148)"
2.500000000000000000e+00,"(-1.7152, -1.6635)","(5.7363, -1.6563)"
2.600000000000000089e+00,"(-4.0534, -4.7057)","(8.1282, -2.5277)"
2.700000000000000178e+00,"(-12.0065, -14.2231)","(12.5997, -3.9306)"
2.800000000000000266e+00,"(-24.6789, -27.3804)","(16.9355, -5.4141)"
2.900000000000000355e+00,"(-13.0104, -7.351)","(14.5609, -5.0447)"
3.000000000000000000e+00,"(-8.9318, -1.7019)","(8.6085, -3.2543)"
3.100000000000000089e+00,"(-12.9634, -0.8992)","(5.6364, -2.0574)"
3.200000000000000178e+00,"(-22.7898, -1.2296)","(6.1886, -2.0381)"
3.300000000000000266e+00,"(-22.7647, 0.1916)","(9.5132, -2.9819)"
3.400000000000000355e+00,"(-10.5513, 1.5013)","(15.0094, -4.6876)"
3.500000000000000000e+00,"(-5.5572, 0.4374)","(17.596, -5.7585)"
3.600000000000000089e+00,"(-8.8468, -0.4101)","(11.9641, -4.3714)"
