time,y
0,9.6707478
0.2,1.7350581
0.4,1.7063791
0.6,2.5079473
0.8,1.4525621
1,1.5359892
1.2,2.527052
1.4,1.5615709
1.6,1.4024498
1.8,2.4880886
2,1.7294555
2.2,1.2742853
2.4,2.3830885
2.6,1.9623908
2.8,1.1594602
3,2.2137656
3.2,2.2523325
3.4,1.0697235
3.6,1.9900647
3.8,2.5625198
4,1.0243424
4.2,1.7281174
4.4,2.8165106
4.6,1.0573033
4.8,1.446964
5,2.9101846
5.2,1.2290831
5.4,1.1658854
5.6,2.7605887
5.8,1.6332309
6,0.90538064
6.2,2.3650879
6.4,2.3385473
6.6,0.6975076
6.8,1.8116474
7,3.134764
7.2,0.62369062
7.4,1.2229094
7.6,3.3081387
7.8,0.96905159
8,0.68961291
8.2,2.4391374
8.4,2.4937124
8.6,0.27917239
8.8,1.1890664
9,3.8327287
9.2,0.42688141
9.4,0.24310722
9.6,1.3552472
9.8,4.4762425
10,-0.2520051
10.2,-0.49673625
10.4,-2.0819977
10.6,-9.4553233
10.8,-4.8352356
11,-2.7569434
11.2,-9.393533
11.4,-18.056192
11.6,-3.3371206
11.8,-1.1842651
12,-5.4384792
12.2,-22.269708
12.4,-5.7302073
12.6,-4.6344098
12.8,-15.20389
13,-13.918103
13.2,-2.5131486
13.4,-4.7920861
13.6,-19.44233
13.8,-9.6661293
14,-0.91330268
14.2,-1.7846345
14.4,-9.7030651
14.6,-12.323119
14.8,-1.0753225
15,-1.6062549
15.2,-3.8158935
15.4,-0.20305868
15.6,-0.48895147
15.8,-2.2556542
16,-3.0942575
16.2,0.20728338
16.4,0.012030446
16.6,-0.043547458
16.8,-0.31533539
17,-2.5474943
17.2,-2.3765528
17.4,2.6176099
17.6,5.3970864
17.8,6.8964338
18,3.7407426
18.2,4.791753
18.4,7.3542624
18.6,4.0018637
18.8,4.1125947
19,7.4792572
19.2,4.5720211
19.4,3.4796478
19.6,7.0443536
19.8,5.5307094
20,2.9902473
20.2,5.9867828
20.4,6.869999
20.6,2.8097634
20.8,4.5327993
21,8.1584679
21.2,3.2873328
21.4,3.0777492
21.6,7.9044961
21.8,4.9754013
22,2.0010251
22.2,5.1882529
22.4,8.2129495
22.6,2.0647439
22.8,2.0831363
23,7.6193736
23.2,5.9259956
23.4,0.70626184
23.6,0.63383657
23.8,3.4503525
24,11.191756
24.2,3.4718592
24.4,6.3493721
24.6,16.941886
24.8,8.0850439
25,3.4897573
25.2,10.49337
25.4,16.450742
25.6,3.2389559
25.8,2.9868869
26,12.684825
26.2,14.281637
26.4,1.810154
26.6,2.4147054
26.8,11.932211
27,19.368105
27.2,2.5530241
27.4,4.3206839
27.6,14.719158
27.8,5.6220314
28,0.83202915
28.2,2.642413
28.4,13.386569
28.6,7.4091336
28.8,0.7764404
29,1.7499048
29.2,3.8695815
29.4,-0.030716776
29.6,0.25689947
29.8,1.4296979
30,4.7182346
30.2,-0.53582712
30.4,-1.354352
30.6,-5.0642973
30.8,-8.7111051
31,-1.632675
31.2,-0.2374498
31.4,-1.0619453
31.6,-6.7102885
31.8,-7.5599368
32,-4.5103762
32.2,-11.077167
32.4,-14.748505
32.6,-4.8688887
32.8,-7.2902878
33,-17.355792
33.2,-6.923437
33.4,-4.0817124
33.6,-12.635793
33.8,-13.737434
34,-2.7649715
34.2,-4.5116585
34.4,-17.241499
34.6,-9.0847064
34.8,-0.81707394
35,-0.40924383
35.2,-2.3745735
35.4,-16.575142
35.6,-13.148573
35.8,-4.742986
36,-9.9822243
36.2,-10.201159
36.4,-4.2150961
36.6,-7.848619
36.8,-12.676435
37,-4.4098262
37.2,-5.5785067
37.4,-13.402569
37.6,-6.0135191
37.8,-3.6376823
38,-10.347613
38.2,-10.478026
38.4,-2.6035127
38.6,-5.4047814
38.8,-15.272777
39,-4.4109132
39.2,-1.6892497
39.4,-6.4381781
39.6,-16.620692
39.8,-2.2719059
40,-0.27260145
40.2,-1.0416353
40.4,-4.7842917
40.6,0.50240304
40.8,1.6906443
41,5.4661937
41.2,8.006845
41.4,1.7880625
41.6,1.8395904
41.8,7.2846514
42,6.3779785
42.2,0.82418828
42.4,0.96557226
42.6,5.3469958
42.8,23.543667
43,5.8614737
43.2,6.6929174
43.4,17.655064
43.6,10.239843
43.8,4.2793383
44,11.633718
44.2,18.139431
44.4,4.0354139
44.6,4.8562221
44.8,17.758503
45,11.134714
45.2,1.3429873
45.4,2.3723925
45.6,12.594521
45.8,18.39736
46,2.7262015
46.2,5.4227449
46.4,15.267526
46.6,4.4319468
46.8,1.6776276
47,6.386582
47.2,16.670854
47.4,2.2993342
47.6,0.27717217
47.8,1.0564493
48,4.7953838
48.2,-0.50765935
48.4,-1.6757524
48.6,-5.453264
48.8,-8.0328742
49,-1.77173
49.2,-1.7704033
49.4,-7.1128282
49.6,-6.5716481
49.8,-0.90524696
50,-1.3360504
50.2,-7.24345
50.4,-22.542793
50.6,-4.5311635
50.8,-6.8661115
51,-19.000438
51.2,-8.8564065
51.4,-3.5321398
51.6,-10.894679
51.8,-19.543492
52,-3.5551761
52.2,-2.4931282
52.4,-11.071808
52.6,-20.445048
52.8,-2.5410745
53,-2.4941612
53.2,-10.715657
53.4,-10.635709
53.6,-0.7984353
53.8,-0.55139459
54,-2.7209904
54.2,-2.1747649
54.4,0.7226942
54.6,2.2939792
54.8,8.3194333
55,5.2018924
55.2,0.55934726
55.4,0.70212175
55.6,3.932415
55.8,10.747323
56,3.389286
56.2,6.9562818
56.4,17.38461
56.6,7.1850898
56.8,3.7624057
57,11.765042
57.2,14.881186
57.4,2.8157012
57.6,3.5920017
57.8,14.961606
58,11.567398
58.2,1.3289479
58.4,2.1539954
58.6,11.355996
58.8,20.433926
59,2.9198288
59.2,5.1849822
59.4,14.962351
59.6,4.8793169
59.8,1.7622124
60,6.4420618
60.2,16.468173
60.4,2.3741521
60.6,0.18184126
60.8,0.58065747
61,3.4869236
61.2,0.68990363
61.4,-1.6968274
61.6,-4.7575212
61.8,-8.3146118
62,-2.7020211
62.2,-2.6538529
62.4,-8.0059272
