time,x
0,-16.9879
0.5,-5.65202
1,-13.4967
1.5,-4.63532
2,-1.68433
2.5,-13.6499
3,3.51245
3.5,2.63168
4,10.9707
4.5,-2.64135
5,-4.05698
5.5,-6.12807
6,2.14976
6.5,6.96873
7,9.44458
7.5,-0.329196
8,-16.6386
8.5,7.0202
9,2.45394
9.5,9.11045
10,4.0831
10.5,-0.742903
11,-12.1089
11.5,-2.52328
12,-0.614096
12.5,13.8626
13,3.06683
13.5,1.09819
14,-14.3855
14.5,1.80079
15,4.09026
15.5,-11.551
16,0.450151
16.5,16.0961
17,-8.27868
17.5,-2.70451
18,-6.66285
18.5,-7.46389
19,1.08004
19.5,10.5935
20,-3.67252
