time,x,y,z
0,-2.81789,3.42456,49.9457
0.5,5.93147,7.97608,16.5869
1,2.31996,1.61167,22.2609
1.5,12.5912,8.96489,38.26
2,1.06282,1.53392,10.9275
2.5,7.92899,-0.427562,35.7656
3,6.01061,-18.4257,29.8216
3.5,3.7597,-8.88008,16.8953
4,0.264192,-3.10609,22.6794
4.5,1.23593,-14.7612,37.8262
5,2.00815,-4.23562,11.2674
5.5,-2.99668,-1.57272,26.7168
6,-18.4103,5.45066,35.5474
6.5,-5.37926,0.504689,12.8598
7,-0.419031,2.62015,26.0788
7.5,14.8437,18.4736,27.6412
8,1.22957,-2.64805,14.1713
8.5,-3.06679,-5.29861,32.714
9,-20.4218,2.46685,21.5445
9.5,-0.344102,0.133759,15.58
10,-25.2244,2.26408,19.35
