time,z
0,3.794628
0.2,45.630265
0.4,25.79061
0.6,23.191772
0.8,31.483071
1,25.828271
1.2,22.055622
1.4,30.986654
1.6,27.205321
1.8,21.428864
2,29.373047
2.2,28.958059
2.4,21.383579
2.6,26.564156
2.8,31.031466
3,22.037657
3.2,23.124403
3.4,33.026359
3.6,23.515378
3.8,20.181351
4,33.469341
4.2,26.012853
4.4,18.784749
4.6,29.438841
4.8,29.876628
5,19.444654
5.2,21.163788
5.4,34.974908
5.6,22.457685
5.8,15.925845
6,31.906278
6.2,29.06779
6.4,17.382921
6.6,13.457949
6.8,37.723931
7,26.387573
7.2,15.447503
7.4,10.299866
7.6,31.438967
7.8,30.193813
8,18.12393
8.2,18.828073
8.4,36.642802
8.6,22.6881
8.8,13.999373
9,19.198767
9.2,36.481628
9.4,20.879202
9.6,12.643866
9.8,16.389442
10,38.299286
10.2,21.703459
10.4,14.466078
10.6,29.523792
10.8,30.622975
11,17.813567
11.2,10.561275
11.4,9.6592014
11.6,42.73965
11.8,25.152664
12,18.174712
12.2,31.541647
12.4,28.672198
12.6,18.402747
12.8,21.146918
13,35.161941
13.2,21.854885
13.4,14.723999
13.6,29.553354
13.8,30.574036
14,17.839067
14.2,10.786906
14.4,15.261379
14.6,38.824321
14.8,21.897165
15,16.871492
15.2,34.818807
15.4,26.826086
15.6,16.524283
15.8,17.837544
16,37.440043
16.2,22.383742
16.4,13.172524
16.6,8.7467612
16.8,31.104915
17,30.480021
17.2,19.006854
17.4,23.271116
17.6,33.773206
17.8,21.347106
18,16.309106
18.2,34.761901
18.4,27.118915
18.6,16.423555
18.8,15.355514
19,38.841509
19.2,23.810948
19.4,13.956926
19.6,8.7222503
19.8,22.2495
20,34.114735
20.2,20.337775
20.4,21.05203
20.6,34.881076
20.8,22.962089
21,16.623581
21.2,32.239801
21.4,28.680631
21.6,17.48821
21.8,16.02245
22,38.192926
22.2,24.019642
22.4,14.109078
22.6,8.9232234
22.8,24.417186
23,33.126654
23.2,19.882413
23.4,21.023918
23.6,35.007065
23.8,22.692993
24,16.151528
24.2,31.869363
24.4,29.03387
24.6,17.458165
24.8,14.188871
25,38.236435
25.2,25.592077
25.4,14.963277
25.6,9.1248182
25.8,17.075825
26,37.121643
26.2,21.371341
26.4,19.541176
26.6,35.273603
26.8,24.378856
27,16.732069
27.2,28.921148
27.4,30.640127
27.6,18.564095
27.8,14.854118
28,37.367202
28.2,25.893626
28.4,15.166732
28.6,9.1939093
28.8,15.516977
29,38.245423
29.2,21.810524
29.4,19.300053
29.6,35.132012
29.8,24.835177
30,16.932927
30.2,28.20432
30.4,31.027035
30.6,18.856146
30.8,15.063175
31,37.149886
31.2,25.945448
31.4,15.233705
31.6,9.6644878
31.8,25.015591
32,32.893258
32.2,19.501895
32.4,19.333116
32.6,36.055842
32.8,23.243567
33,15.177227
33.2,26.177298
33.4,32.341877
33.6,18.885583
33.8,11.440052
34,15.773708
34.2,38.56187
34.4,21.76134
34.6,15.931193
34.8,33.953642
35,27.825208
35.2,16.672318
35.4,13.697077
35.6,38.817934
35.8,25.427728
36,14.948644
36.2,10.802438
36.4,36.999609
36.6,27.791441
36.8,16.949978
37,19.71081
37.2,36.213768
37.4,21.689552
37.6,13.114979
37.8,15.382643
38,39.110697
38.2,22.284994
38.4,14.4085
38.6,26.621551
38.8,32.137875
39,18.611198
39.2,10.924584
39.4,6.6304888
39.6,14.384952
39.8,38.36891
40,22.570453
40.2,23.046382
40.4,33.026054
40.6,23.677246
40.8,20.224631
41,33.324145
41.2,26.134473
41.4,18.907727
41.6,29.367409
41.8,29.889668
42,19.541302
42.2,21.423663
42.4,34.79741
42.6,22.412282
42.8,16.164473
43,32.553665
43.2,28.618576
43.4,17.235184
43.6,14.421159
43.8,38.528866
44,25.163917
44.2,14.721052
44.4,8.9756571
44.6,16.978134
44.8,37.154048
45,21.420579
45.2,19.795347
45.4,35.149804
45.6,24.274979
45.8,16.886713
46,29.663982
46.2,30.176766
46.4,18.404732
46.6,15.656116
46.8,37.739605
47,24.980841
47.2,14.71852
47.4,9.9940802
47.6,33.151753
47.8,29.557946
48,18.006649
48.2,20.430238
48.4,35.674224
48.6,21.892628
