time,x,y,z
0,-16.987858,3.6114748,20.742455
0.2,-9.8576724,-13.529959,21.340701
0.4,-10.501368,-5.4923939,34.511519
0.6,-3.4443183,-2.6262926,22.717403
0.8,-5.8132395,-9.022237,16.99357
1,-13.496722,-13.844938,33.272248
1.2,-4.6692731,-0.94318147,27.883875
1.4,-2.7525099,-3.7531762,17.247932
1.6,-8.8384371,-14.306693,18.003189
1.8,-11.630049,-4.9280687,37.255271
2,-1.6843299,-0.10672953,22.669659
2.2,-1.4517561,-2.3322252,13.513998
2.4,-6.7211407,-12.200038,12.144865
2.6,-14.700509,-8.1521758,40.971425
2.8,-0.16259698,2.8824311,24.596467
3,3.512452,5.7150046,15.670519
3.2,12.107498,17.484989,24.648615
3.4,7.4984729,0.64174992,33.188395
3.6,1.1589042,0.68044796,19.464974
3.8,2.2846504,3.9662104,11.937075
4,10.970659,18.430484,18.525629
4.2,8.9119098,-0.84215527,36.681031
4.4,-1.1548909,-2.7944182,20.809567
4.6,-5.0315682,-8.4023279,14.765088
4.8,-14.376326,-15.760158,33.483713
5,-4.0569789,0.54655473,28.462902
5.2,-0.83436945,-0.88008942,16.681304
5.4,-2.6384109,-4.7871952,10.449027
5.6,-13.09202,-20.763068,22.811491
5.8,-6.2074586,2.9244664,33.99531
6,2.1497588,3.7901632,19.73999
6.2,7.4051132,11.931526,17.209605
6.4,13.011728,8.9401478,36.802582
6.6,2.8531847,0.57753025,24.694624
6.8,2.4442689,3.7433831,15.135662
7,9.4445825,15.672061,17.640446
7.2,10.960204,2.7882912,37.612298
7.4,0.59238584,-0.98079535,21.877343
7.6,-0.89219026,-1.584753,12.898043
7.8,-4.6681419,-8.7774815,9.5622704
8,-16.638558,-16.287292,38.685718
8.2,-0.98479577,3.9283668,27.453413
8.4,3.9585742,6.1735431,17.664838
8.6,11.690315,16.14177,25.366112
8.8,7.8697804,2.0357488,32.63484
9,2.4539427,2.3943485,19.996742
9.2,5.8178717,9.612023,15.189595
9.4,14.31932,13.466783,35.662591
9.6,3.3574672,-0.34406392,26.978362
9.8,1.1071563,1.4367921,15.912481
10,4.083102,7.4093089,10.913929
10.2,15.700451,18.877971,33.641856
10.4,2.8697571,-3.0308137,29.208434
10.6,-2.3084008,-3.8153132,17.455499
10.8,-8.4435936,-13.814365,17.39267
11,-12.108947,-5.7021514,37.588262
11.2,-1.7423086,0.029908076,23.085833
11.4,-1.2509877,-1.9726255,13.699417
11.6,-5.7479856,-10.556546,11.108183
11.8,-15.765548,-11.83746,40.433558
12,-0.61409608,3.1600182,25.85568
12.2,3.4489556,5.5428298,16.34641
12.4,11.597203,16.949871,23.761736
12.6,8.1207379,1.3254405,33.689988
12.8,1.5132575,1.023109,19.962933
13,3.0668278,5.2547721,12.654548
13.2,12.88517,19.474807,24.170951
13.4,6.5637174,-1.5079553,33.427856
13.6,-0.77523206,-1.9132005,19.16901
13.8,-3.7996329,-6.6249425,12.65709
14,-14.385531,-19.092596,29.600704
14.2,-4.6585425,1.8532564,30.763226
14.4,0.80342498,1.7168767,17.808751
14.6,3.7813284,6.7214484,11.823778
14.8,14.840286,19.44675,30.513783
15,4.090263,-2.4191526,30.424856
15.2,-1.4479226,-2.6192378,17.755795
15.4,-5.8854809,-10.168227,13.802065
15.6,-14.842507,-12.661385,37.63823
15.8,-2.2806535,1.3357941,26.276293
16,0.45015084,0.93778268,15.353799
16.2,2.3734759,4.4066571,9.5317573
16.4,12.779875,21.010995,21.161454
16.6,6.4998184,-3.3703428,34.757783
16.8,-2.6417047,-4.4717716,20.311738
17,-8.2786763,-12.793377,19.146468
17.2,-11.915323,-7.3166332,35.88554
17.4,-3.1715786,-1.5643973,23.866068
17.6,-4.0381564,-6.2846146,15.783234
17.8,-12.729142,-17.335839,26.883377
18,-6.66285,-0.4693328,31.911405
18.2,-1.3960997,-1.2150074,18.83855
18.4,-3.4626269,-6.035406,12.23342
18.6,-14.02965,-19.734938,27.637015
18.8,-5.1495291,2.0616912,31.705724
19,1.0800431,2.1779912,18.3294
19.2,4.69101,8.1849322,12.898247
19.4,15.139157,16.800908,34.36853
19.6,3.2543313,-1.7734683,28.467557
19.8,-0.77484752,-1.5342559,16.590807
20,-3.6725164,-6.6447307,11.012554
20.2,-15.143146,-19.954368,30.787738
20.4,-3.729329,2.946518,30.386733
20.6,2.0609254,3.4893751,17.948316
20.8,7.621017,12.640574,16.333712
21,13.060492,7.7001045,37.927732
21.2,1.9963077,-0.23445345,24.062269
21.4,1.0191247,1.5292837,14.21006
21.6,4.4841552,8.2996667,10.20455
21.8,16.320906,17.31479,36.916078
22,1.7037602,-3.5007857,28.001967
22.2,-3.1987357,-5.0930419,17.351921
22.4,-10.559133,-15.907162,21.840105
22.6,-9.3971151,-2.7035921,34.833308
22.8,-1.9335898,-1.2161881,21.027107
23,-3.4933641,-5.8426278,13.58558
