time,x,y,z
0,0.085597858,1.9667703,7.4730811
0.2,0.25056902,14.403187,8.1412727
0.4,3.0270498,16.039371,44.253826
0.6,3.9248386,4.6854946,25.06092
0.8,8.7320727,9.4296648,20.94141
1,11.174186,10.855883,32.691036
1.2,4.753007,4.3111113,26.320201
1.4,6.8765766,7.3747776,19.721304
1.6,12.639758,12.96855,29.906719
1.8,5.522305,4.7164105,29.259698
2,5.0304668,5.2923688,19.924723
2.2,12.159679,13.040884,24.063979
2.4,7.6841213,6.5702909,33.077379
2.6,3.597381,3.5587374,21.714926
2.8,8.9541594,9.8144772,18.467788
3,11.753439,11.164907,35.140276
3.2,3.2679235,2.7434112,25.528028
3.4,4.8092511,5.2391342,16.777816
3.6,13.979778,15.045377,25.266892
3.8,6.177328,4.712136,32.765311
4,1.8564833,1.8128951,19.669012
4.2,5.9836265,6.6970626,13.628464
4.4,15.699933,16.268504,32.631574
4.6,3.6083968,2.17728,29.172156
4.8,0.54675788,0.12620389,16.940216
5,2.2069006,0.33575339,10.044394
5.2,13.677866,2.1313236,9.597483
5.4,17.085942,0.20109096,43.012431
5.6,4.1548665,-2.2387442,24.923157
5.8,9.2123292,-5.8524429,18.55033
6,15.091461,-10.49374,32.262475
6.2,4.3649257,-3.7225525,28.018115
6.4,5.5512292,-3.6189895,18.355959
6.6,15.797869,-10.14973,23.151531
6.8,7.3240166,-6.3020046,33.911724
7,2.8194867,-2.0524803,21.091058
7.2,8.7965825,-5.500821,15.445763
7.4,16.795015,-11.64995,34.013191
7.6,2.8443079,-2.8774777,27.944196
7.8,1.9237182,-1.2720508,16.570272
8,8.6255667,-5.2896703,12.079123
8.2,18.191949,-12.707703,36.612819
8.4,1.8798059,-2.6907107,27.576584
8.6,1.0427526,-3.1616284,16.325828
8.8,4.3794058,-13.215218,14.267498
9,3.4617645,-16.184701,39.198586
9.2,-0.18435619,-1.9479368,24.581164
9.4,-0.73627087,-1.865617,14.470214
9.6,-3.6275471,-9.2867575,10.599217
9.8,-9.6894664,-20.769171,37.729308
10,-2.7522786,-2.3643279,27.524653
10.2,-5.0682228,-2.6842976,16.978706
10.4,-16.877102,-8.8400833,21.142321
10.6,-9.4704807,-3.1533092,35.29334
10.8,-1.7458497,-0.66127525,21.124292
11,-4.6350421,-2.4807908,13.133003
11.2,-19.261278,-10.194926,20.837056
11.4,-7.9979286,-2.017077,35.352475
11.6,-1.8235534,0.26999573,20.162328
11.8,-6.1732643,1.2743459,12.802366
12,-22.859852,5.0833002,24.876607
12.2,-5.756377,3.0510201,33.063548
12.4,-1.2146028,1.4340617,18.981136
12.6,-4.3808944,5.5265856,12.3223
12.8,-14.572683,19.277471,27.888893
13,-1.8925748,5.1433948,31.584587
13.2,0.032518455,2.3280213,18.259301
13.4,0.2554209,9.1011499,12.695354
13.6,1.6585479,22.971103,33.761304
13.8,1.422045,3.6098419,28.809931
14,1.2920049,1.4816648,16.793248
14.2,5.6439762,6.3861526,11.491149
14.4,16.749613,17.447235,33.293917
14.6,3.7084441,1.8145327,29.255639
14.8,3.5995301,0.52201995,17.276909
15,13.998292,2.0221736,15.207593
15.2,16.099616,0.58996446,38.53871
15.4,1.8884204,-0.35798935,24.459865
15.6,0.1024341,-0.041575778,14.31375
15.8,0.30044922,-0.18150451,8.3994381
16,2.1663749,-1.2944549,5.0371079
16.2,16.482261,-9.9064185,9.6094788
16.4,8.0100347,-8.732642,42.053751
16.6,2.4171414,-7.4070551,24.190386
16.8,4.2375947,-14.120263,23.828442
17,2.8875705,-12.327473,31.885738
17.2,1.8373177,-7.2392529,24.578558
17.4,3.8481221,-12.722363,22.112154
17.6,3.539016,-14.182395,32.084019
17.8,1.6172096,-6.955368,26.006797
18,3.291749,-10.869708,20.948786
18.2,4.3328832,-16.054381,30.871186
18.4,1.5156167,-7.2492696,27.97446
18.6,2.6351061,-8.8318831,20.557976
18.8,4.944388,-17.021985,27.708397
19,1.6512903,-8.4897816,30.52056
19.2,1.9691105,-6.902761,21.124355
19.4,4.8624059,-15.877604,23.190588
19.6,2.2920345,-11.186218,33.310986
19.8,1.3750655,-5.4121956,22.816481
20,3.8929691,-12.395429,19.291401
20.2,3.8801324,-15.71035,34.166661
20.4,0.96104984,-4.9804679,25.938456
20.6,2.4722653,-7.9398564,17.835445
20.8,5.6873234,-19.119788,27.714594
21,1.0533226,-7.1650208,31.175008
21.2,1.1852162,-4.1904479,19.415019
21.4,4.3489477,-13.448628,17.126608
21.6,3.4147209,-15.321988,36.922565
21.8,0.35682069,-2.7864571,24.607852
22,1.2898138,-4.0548116,15.019078
22.2,5.5634525,-16.960568,16.953069
22.4,1.7439337,-11.688987,38.082076
22.6,-0.21664818,-1.2784631,22.162952
22.8,-0.90836802,-2.2930969,13.133023
23,-4.6954777,-12.021595,11.215372
23.2,-8.5346864,-16.258675,41.144615
23.4,-2.6476052,-1.9052282,25.256642
23.6,-6.4236929,-3.4004432,16.322524
23.8,-18.725987,-9.5596408,25.946037
24,-6.9519675,-2.0800464,32.408205
24.2,-2.0265649,-0.91198341,19.277643
24.4,-7.0548794,-3.7979428,12.923145
24.6,-21.113136,-10.55908,30.566925
24.8,-4.6803951,-0.85551095,30.282164
25,-1.5074605,0.27188612,17.54042
25.2,-6.2391263,1.2658369,11.206705
25.4,-24.202806,5.4018122,26.102536
25.6,-5.0800484,3.048313,32.434581
25.8,-2.2571734,2.8331652,18.854516
26,-7.9522576,10.128382,15.432458
26.2,-9.6850566,14.730399,37.411542
26.4,-1.0069564,2.3699889,25.487671
26.6,-0.94661766,1.2551459,15.011352
26.8,-4.8758982,6.0920943,10.100506
27,-15.199703,20.502757,32.301442
27.2,-1.112326,4.4898182,29.875631
27.4,0.19318596,5.3366941,18.080204
27.6,0.68771133,17.419753,19.756098
27.8,2.0397672,11.505276,36.086578
