time,x,y,z
0,-2.8178882,3.4245596,49.945708
0.2,2.1765443,2.5653825,29.421626
0.4,3.4770985,4.3548199,18.544907
0.6,10.466877,13.846631,20.311278
0.8,10.008566,5.9105911,35.667948
1,2.3199628,1.6116689,22.260889
1.2,4.3063423,5.907191,14.606296
1.4,14.111883,17.420689,27.179564
1.6,6.0183598,1.3366723,31.830664
1.8,0.5571339,0.24732817,18.48639
2,1.0628163,1.5339182,10.92752
2.2,6.2307097,9.4556158,8.8851503
2.4,16.155032,13.654175,41.679854
2.6,3.0598161,-3.2978257,26.368405
2.8,3.6537566,-8.7028934,18.347982
3,6.010614,-18.425702,29.821563
3.2,-0.36090205,-6.6063451,29.76719
3.4,1.8189207,-5.2286664,19.036207
3.6,6.5246539,-15.463943,20.072385
3.8,0.46936123,-12.204014,35.711151
4,0.26419193,-3.1060851,22.679405
4.2,3.0996277,-7.0639277,15.0786
4.4,7.7072854,-20.709167,28.057429
4.6,-1.6348114,-5.7716489,31.328239
4.8,0.1999763,-1.1888226,18.323734
5,2.0081508,-4.2356231,11.267362
5.2,9.2303937,-20.328962,19.148016
5.4,-3.20569,-7.7776982,36.173719
5.6,-3.5739792,0.13388871,20.598045
5.8,-11.414618,1.1728451,15.70556
6,-18.410277,5.4506561,35.547394
6.2,-2.459395,2.4828083,26.835785
6.4,-2.615956,0.4163005,15.982055
6.6,-11.790358,0.94883088,12.603157
6.8,-18.6442,6.3827662,38.837646
7,-0.41903134,2.6201476,26.078821
7.2,2.0124699,2.8338196,15.532391
7.4,8.6164901,12.319455,14.539048
7.6,12.697899,8.2217261,39.473849
7.8,1.6318856,-0.77673847,23.849829
8,1.2295724,-2.6480477,14.171257
8.2,6.0801511,-12.699756,12.732901
8.4,1.2652274,-16.498853,40.55787
8.6,-2.3853054,-0.92160275,24.480827
8.8,-5.6486853,0.57598751,15.211588
9,-20.421766,2.4668493,21.544536
9.2,-6.653656,5.7413156,35.043626
9.4,-0.42184886,0.62725634,20.341604
