time,x,y,z
0,-8.1025221,-2.0752222,51.425377
0.2,-1.2047891,1.1621488,30.749812
0.4,-1.4990453,2.4603142,18.325541
0.6,-6.0027362,9.2718448,13.793822
0.8,-9.0156342,18.306684,36.64816
1,0.056718139,2.9762306,26.930072
1.2,0.40045019,0.56566998,15.708523
1.4,1.9906574,2.5187495,9.4309831
1.6,11.85865,14.957931,13.083863
1.8,10.139634,5.1039407,40.294697
2,4.7531478,-1.6669498,22.676842
2.2,12.101289,-4.9654652,18.86326
2.4,14.20806,-7.9584176,34.640863
2.6,3.8134115,-2.6911154,25.785414
2.8,7.0801129,-2.966547,17.294333
3,18.606385,-8.1522417,26.484869
3.2,5.7421785,-4.8118762,31.992888
3.4,3.0609471,-1.5342904,19.519298
3.6,10.842814,-4.2521983,15.108432
3.8,16.917835,-9.1059136,36.315248
4,2.0628506,-2.312228,26.558825
4.2,1.4200711,-0.6337888,15.631317
4.4,6.9777103,-2.603364,10.370994
4.6,23.362628,-10.29248,30.82961
4.8,2.2341424,-4.2983547,30.431298
5,-0.30087925,-4.8450051,18.195223
5.2,-1.0947319,-16.380934,18.427419
5.4,-3.7427379,-12.396712,36.861411
5.6,-0.7855393,-2.0655541,22.934462
5.8,-0.29445269,-4.5032437,14.051509
6,-1.1426273,-19.341365,17.905926
6.2,-4.1870987,-9.5066255,37.369225
6.4,-1.3599252,-0.70106036,21.404185
6.6,-4.2162355,-1.1274379,13.020035
6.8,-19.237305,-5.0731025,17.464361
7,-10.004819,1.3195135,37.56903
7.2,-1.4432086,1.7506473,21.337406
7.4,-3.8517656,5.9802613,13.820914
7.6,-11.765494,19.769959,27.051931
7.8,-0.55856721,5.9677726,31.937195
8,0.28552135,0.58575271,18.431281
8.2,1.3175749,1.6520951,10.910185
8.4,7.7983319,9.9474921,9.5254493
8.6,14.532335,12.110834,42.426655
8.8,4.2560234,-0.92573734,25.523139
9,9.049527,-3.7018923,18.031461
9.2,17.537857,-8.3728737,30.725985
9.4,4.8050131,-3.8055573,29.263044
