time,x,y,z
0,-24.798588,18.608846,13.350831
0.2,3.4720743,11.738309,35.582293
0.4,8.0632428,8.2467497,28.833994
0.6,7.5847024,7.611732,26.029785
0.8,8.9958883,9.4123624,26.257287
1,8.838833,8.4703706,28.570071
1.2,7.550695,7.4601119,26.175225
1.4,8.8717212,9.3281553,25.941807
1.6,9.0215404,8.6952288,28.663792
1.8,7.503733,7.3298011,26.394994
2,8.7128767,9.1972025,25.633222
2.2,9.2072309,8.9460964,28.695155
2.4,7.4870559,7.2235186,26.665269
2.6,8.5238199,9.0192349,25.34398
2.8,9.3870377,9.2150232,28.648492
3,7.5066289,7.1490093,26.984819
3.2,8.308666,8.7964752,25.088945
3.4,9.5498179,9.490258,28.50896
3.6,7.5685066,7.1149107,27.350609
3.8,8.0731237,8.5333218,24.883124
4,9.6824462,9.7558687,28.264214
4.2,7.6786125,7.1308724,27.757115
4.4,7.8244315,8.2362334,24.741161
4.6,9.770278,9.991804,27.906667
4.8,7.842344,7.207609,28.195311
5,7.5712954,7.9135465,24.676955
5.2,9.7980324,10.17466,27.436053
5.4,8.0639339,7.3567764,28.651174
5.6,7.3238807,7.5753006,24.703421
5.8,9.7511403,10.279341,26.861867
6,8.3454662,7.5904705,29.103586
6.2,7.093919,7.2331625,24.832404
6.4,9.6175026,10.281649,26.205143
6.6,8.6854112,7.9199967,29.521612
6.8,6.8949893,6.9005583,25.074706
7,9.3894586,10.161532,25.498972
7.2,9.0765054,8.3533464,29.861384
7.4,6.7430215,6.5931422,25.440135
7.6,9.0656359,9.9064691,24.787342
7.8,9.5028018,8.890597,30.06346
8,6.657026,6.329748,25.937415
8.2,8.6522994,9.5142195,24.122313
8.4,9.9358696,9.5164707,30.052694
8.6,6.6599458,6.1339929,26.573619
8.8,8.1639144,8.9942557,23.560046
9,10.330692,10.190095,29.744212
9.2,6.7793049,6.0367198,27.352422
9.4,7.6228938,8.3675046,23.15663
9.6,10.623118,10.834428,29.060197
9.8,7.046938,6.0794497,28.269709
10,7.0588825,7.6646103,22.964881
10.2,10.732669,11.332131,27.960299
10.4,7.4965144,6.3187879,29.303359
10.6,6.508388,6.923575,23.03304
10.8,10.575536,11.53845,26.480721
11,8.1567287,6.8304562,30.390909
11.2,6.016116,6.1883271,23.405956
11.4,10.089607,11.318627,24.76417
11.6,9.0361812,7.7064108,31.384786
11.8,5.6401157,5.5106402,24.128793
12,9.2645222,10.601816,23.055536
12.2,10.09094,9.0226968,31.978292
12.4,5.463616,4.9592539,25.252656
12.6,8.1606674,9.4232572,21.652235
12.8,11.158003,10.725755,31.639627
13,5.6149439,4.642211,26.839311
13.2,6.9033982,7.9240819,20.832084
13.4,11.857828,12.395193,29.730177
13.6,6.2852316,4.7526811,28.950364
13.8,5.6573069,6.3058783,20.80561
14,11.603712,13.089749,26.08633
14.2,7.7067507,5.6647065,31.543456
14.4,4.6105464,4.7752201,21.728466
14.6,9.9921532,11.87726,21.769383
14.8,10.019372,8.08317,33.923563
15,4.0348096,3.5458521,23.781809
15.2,7.3570371,8.9115036,18.690486
15.4,12.661828,12.455371,33.03284
15.6,4.5606471,3.0288552,27.330536
15.8,4.6283173,5.4407624,18.149721
16,12.518586,14.754826,24.60265
16.2,7.5108803,4.5513184,33.033975
16.4,2.6767443,2.6098542,20.507653
16.6,7.1865866,9.1008529,15.851008
16.8,13.730923,13.126983,35.578819
17,3.2266824,1.3755909,26.736031
17.2,1.8833401,2.2167584,15.979528
17.4,7.7559187,10.180324,13.214652
17.6,13.894991,11.793794,39.294603
17.8,2.3255704,-0.18587845,25.354913
18,2.4519293,-1.892197,15.056663
18.2,11.214994,-8.5259344,13.410396
18.4,10.015134,-13.060539,40.002487
18.6,-0.46412237,-2.1545627,24.460268
18.8,-2.5715629,-3.3060982,14.770998
19,-10.939014,-14.101156,16.678764
19.2,-10.26275,-5.9506785,38.269605
19.4,-1.3822768,0.35657008,22.195848
19.6,-2.5354984,1.9457052,13.257739
19.8,-12.655651,9.5701749,13.393265
20,-7.7343357,11.995412,40.521345
20.2,1.119364,2.4516712,23.480222
20.4,4.3404965,5.526766,15.12184
20.6,14.138807,16.746916,25.948429
20.8,6.2553968,2.6262645,32.473188
21,0.79448955,0.56940782,18.934586
21.2,2.0416833,2.6759694,11.381045
21.4,10.894591,14.44841,13.819654
21.6,10.75711,5.3481535,40.104174
21.8,3.1208598,-1.9661539,22.615106
22,8.1049236,-6.4378574,16.386752
22.2,14.342231,-13.941249,33.149602
22.4,2.0053425,-4.1487371,28.188595
22.6,2.7660259,-2.4049293,17.083435
22.8,11.392402,-8.8325462,15.323568
23,9.6837259,-12.426566,38.583723
23.2,0.29252044,-1.8208765,24.266691
23.4,-0.057275697,-0.13432721,14.20266
23.6,-0.3597796,-0.48884064,8.3391239
23.8,-2.5465899,-3.543916,5.2207869
24,-16.472835,-21.494176,19.726114
24.2,-8.0271941,0.36881709,34.886612
24.4,-6.6624831,5.5601977,22.313568
24.6,-12.275683,10.968576,25.925035
24.8,-6.4421849,8.1354932,31.246742
