time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,D_x,D_y,D_z,E_x,E_y,E_z,F_x,F_y,F_z,G_x,G_y,G_z,H_x,H_y,H_z,I_x,I_y,I_z
0,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656,11.494925,9.6707478,51.805656
0.2,2.9825879,-5.8034101,30.822825,8.3112119,1.1595814,30.44753,7.7788025,-0.30492502,30.514122,6.7077933,-2.5055845,30.641962,7.3640816,-1.2794306,30.570902,5.510094,-4.0590542,30.726272,-2.673229,-5.5995172,30.930644,8.5114726,1.7350581,30.439736,8.0759162,0.49100063,30.472656
0.4,2.9513196,-8.3933794,22.153633,9.9187745,1.0362002,23.864616,9.6993392,-0.84142512,23.303101,8.5205486,-3.909053,22.724735,9.3189887,-2.1785255,23.014486,6.8118941,-6.1084663,22.436831,-5.3217323,-6.779542,21.877837,9.897332,1.7063791,24.131324,9.8680152,0.20457032,23.587512
0.6,5.3719042,-15.563332,26.18154,14.920163,1.5404519,26.804088,15.430444,-1.3908201,26.828586,14.504982,-6.7439547,26.636,15.316812,-3.6500822,26.76225,12.028075,-10.908721,26.44421,-10.355884,-13.058567,25.843236,14.551271,2.5079473,26.72408,15.240331,0.2805902,26.840685
0.8,1.113227,-10.187887,31.047994,10.841361,0.61382026,29.753903,10.411886,-1.6760752,30.05043,8.80795,-5.4003882,30.479494,9.8882766,-3.3006977,30.247963,6.449152,-7.9944415,30.745893,-8.8067561,-5.2797146,31.386538,10.94761,1.4525621,29.653214,10.684118,-0.40506509,29.886028
1,2.1396001,-7.3979935,22.664172,9.3500139,0.87695413,23.991558,8.9283949,-0.91679236,23.485959,7.5433838,-3.7091558,23.029072,8.4385684,-2.1533647,23.248743,5.8007209,-5.608879,22.832407,-5.0454771,-5.2848732,22.529664,9.4140949,1.5359892,24.2497,9.2028181,0.073488001,23.735314
1.2,5.393796,-14.477522,23.483192,14.70352,1.5863375,25.657733,15.130354,-1.2502296,25.304695,14.085061,-6.3333148,24.59224,14.951745,-3.411341,24.996641,11.648289,-10.206985,24.087796,-9.048374,-12.349705,22.783077,14.350109,2.527052,25.718517,14.991216,0.36338694,25.522533
1.4,1.6708416,-12.140972,32.543644,11.636137,0.6760755,30.458517,11.442863,-1.8078429,30.984199,10.07055,-6.0622123,31.684841,11.053202,-3.631492,31.312886,7.6430266,-9.1949971,32.097169,-10.462168,-7.1398816,33.012742,11.655529,1.5615709,30.259668,11.587406,-0.41661064,30.699579
1.6,1.4830191,-6.5611812,23.888091,8.7788799,0.76043193,24.423096,8.1983962,-0.94234681,24.062483,6.6858101,-3.4886919,23.858558,7.6339916,-2.0842579,23.936304,4.9515653,-5.1480257,23.839078,-4.8269721,-4.0541338,24.016264,8.9166464,1.4024498,24.640486,8.5530362,-0.0097798846,24.227699
1.8,4.8282067,-12.42597,21.095491,14.152498,1.5820994,24.453635,14.317946,-1.0984979,23.727013,12.92828,-5.6754457,22.582859,13.960703,-3.0793112,23.205487,10.482306,-8.9827141,21.872052,-7.3033283,-10.368777,20.28553,13.876372,2.4880886,24.665739,14.328233,0.41563592,24.142606
2,3.034228,-14.774392,32.960465,12.664405,0.79804987,30.991833,12.847852,-1.9007968,31.652887,11.929908,-6.8066524,32.389857,12.691985,-3.9617854,32.021277,9.570891,-10.658434,32.722513,-12.000198,-10.607027,33.012127,12.548914,1.7294555,30.716218,12.785835,-0.37324445,31.305876
2.2,0.8173612,-6.2436829,25.852467,8.3232942,0.64079935,25.093103,7.640932,-1.0118878,24.980035,6.0678117,-3.4488755,25.186803,7.0394095,-2.1075221,25.035463,4.3171948,-5.0193129,25.452257,-5.2207075,-3.0447132,26.411615,8.5173207,1.2742853,25.233611,8.043445,-0.11072226,25.004168
2.4,3.798148,-9.7899264,19.683357,13.265509,1.5176991,23.316036,13.012216,-0.95396103,22.324284,11.134945,-4.8428096,21.020104,12.393491,-2.6869559,21.698441,8.6865497,-7.407427,20.330776,-5.4888993,-7.6464502,19.138417,13.128089,2.3830885,23.659194,13.255265,0.42455817,22.86897
2.6,5.0971741,-17.18816,30.634801,13.892863,0.99305346,31.160438,14.564311,-1.9089276,31.681202,14.227655,-7.4527613,31.799929,14.706171,-4.2034159,31.830494,12.007326,-11.985091,31.459692,-12.124786,-14.333222,29.127247,13.599113,1.9623908,30.876929,14.236225,-0.25001314,31.439464
2.8,0.21000684,-6.9336438,28.743717,8.0551907,0.52253382,26.027774,7.379954,-1.1454084,26.286121,5.8945686,-3.7165832,27.104852,6.8179529,-2.2781565,26.611424,4.1138157,-5.4897529,27.801338,-6.7831586,-2.7001272,29.984447,8.2725561,1.1594602,26.04872,7.7678448,-0.23263954,26.099826
3,2.5672948,-7.1273911,19.679032,12.086364,1.3938461,22.390627,11.33031,-0.8300624,21.339124,8.9798916,-3.9514212,20.267746,10.436339,-2.2775206,20.778849,6.6082101,-5.7551415,19.875627,-3.9888872,-4.8847476,19.756203,12.133774,2.2137656,22.811526,11.84366,0.38748786,21.890674
