time,x,y,z
0.000000000000000000e+00,5.910812350128343828e-01,2.252318481629676228e+01,7.928778699579855704e+00
2.000000000000000042e-02,-1.553794182615782393e+00,1.556385947245211021e+01,5.412233233110444353e+00
4.000000000000000083e-02,-3.748021114986418656e+00,1.299432292643145814e+01,5.397552032845175596e+00
5.999999999999999778e-02,-6.220824421872565679e+00,1.372410082969879142e+01,6.738167694461003165e+00
8.000000000000000167e-02,-8.783710154158438144e+00,1.594291083486313454e+01,9.057107979363856032e+00
1.000000000000000056e-01,-1.116729723985859302e+01,1.865257933849057892e+01,1.233915068221005029e+01
1.199999999999999956e-01,-1.315124730119630847e+01,2.134083261784099150e+01,1.667797113633275430e+01
1.400000000000000133e-01,-1.445668628965555413e+01,2.354785642976328219e+01,2.207544479030611129e+01
1.600000000000000033e-01,-1.474875089313935916e+01,2.476988926752124343e+01,2.824591896626289511e+01
1.799999999999999933e-01,-1.377850774598372041e+01,2.458388488723504750e+01,3.448777944764152181e+01
2.000000000000000111e-01,-1.159669133913931027e+01,2.289165029283295638e+01,3.977706005247641485e+01
2.200000000000000011e-01,-8.659002209959814067e+00,2.008317223920478511e+01,4.316219340358640011e+01
2.399999999999999911e-01,-5.649375128390009770e+00,1.689598971644064918e+01,4.424146393556405599e+01
2.600000000000000089e-01,-3.112693997261055667e+00,1.400038868133856873e+01,4.332213667452391093e+01
2.800000000000000266e-01,-1.235805813035453449e+00,1.166626092182111130e+01,4.114213930053143287e+01
2.999999999999999889e-01,6.250023733135287585e-02,9.817491717815238772e+00,3.845012374787290810e+01
3.200000000000000067e-01,9.429202720995202291e-01,8.313016459653859158e+00,3.575824443085398485e+01
3.400000000000000244e-01,1.553497560440584735e+00,7.096920173727362169e+00,3.331686795445996552e+01
3.599999999999999867e-01,2.011514610102013823e+00,6.172613329758681822e+00,3.119737505681539247e+01
3.800000000000000044e-01,2.400456745231968281e+00,5.539486881658540973e+00,2.938190789415018855e+01
4.000000000000000222e-01,2.768344903256859446e+00,5.165336877570763541e+00,2.782249880111567109e+01
4.199999999999999845e-01,3.133531406585131851e+00,4.996773076657811785e+00,2.647046328009783878e+01
4.400000000000000022e-01,3.498750280779246769e+00,4.981881474160613443e+00,2.528731179148774544e+01
4.600000000000000200e-01,3.864288964640709700e+00,5.083252135128502047e+00,2.424669101955213435e+01
4.799999999999999822e-01,4.234039437428395836e+00,5.278858856470074024e+00,2.333294113731163577e+01
5.000000000000000000e-01,4.615848104524865825e+00,5.557714866228582018e+00,2.253893851712561514e+01
5.200000000000000178e-01,5.019694283344901642e+00,5.915264868041452573e+00,2.186425672841472689e+01
5.400000000000000355e-01,5.455753151831874703e+00,6.349965118909903339e+00,2.131389558315623134e+01
5.600000000000000533e-01,5.932932244528351440e+00,6.860909225950623913e+00,2.089749793494730312e+01
5.799999999999999600e-01,6.457802828099814541e+00,7.446012320911129301e+00,2.062884629372441836e+01
5.999999999999999778e-01,7.033672353238076269e+00,8.100334457183530290e+00,2.052537226384726310e+01
6.199999999999999956e-01,7.659573674849623259e+00,8.814278823057035694e+00,2.060735810395883760e+01
6.400000000000000133e-01,8.329051360668067616e+00,9.571580500532768099e+00,2.089644763713116404e+01
6.600000000000000311e-01,9.028777643159660471e+00,1.034722226635261677e+01,2.141303102907566824e+01
6.800000000000000488e-01,9.737229766616538384e+00,1.110570567072756454e+01,2.217209356247214558e+01
7.000000000000000666e-01,1.042390557616280233e+01,1.180045887935396109e+01,2.317733809689609359e+01
7.199999999999999734e-01,1.104979655376253866e+01,1.237547867238469834e+01,2.441394149499437916e+01
7.399999999999999911e-01,1.156993676761170775e+01,1.277034379241299966e+01,2.584126981425094982e+01
7.600000000000000089e-01,1.193858296944856257e+01,1.292914565621811995e+01,2.738807500540920614e+01
7.800000000000000266e-01,1.211675366074682714e+01,1.281239711266812975e+01,2.895351012514213451e+01
8.000000000000000444e-01,1.208054605847591745e+01,1.240886639920753787e+01,3.041671880635960434e+01
8.200000000000000622e-01,1.182746807690065083e+01,1.174267493878758550e+01,3.165503591358588764e+01
8.399999999999999689e-01,1.137796946997662317e+01,1.087153322713328052e+01,3.256658396331146577e+01
8.599999999999999867e-01,1.077105813288811298e+01,9.875378959918331034e+00,3.308969160006567733e+01
8.800000000000000044e-01,1.005566755791401867e+01,8.839364213357761457e+00,3.321187643893048147e+01
9.000000000000000222e-01,9.281441676410524977e+00,7.837876070614511193e+00,3.296564221375579962e+01
9.200000000000000400e-01,8.492315071617195343e+00,6.925014686677087639e+00,3.241423937765043206e+01
9.400000000000000577e-01,7.724058274241142996e+00,6.132900312270909815e+00,3.163402418110557690e+01
9.599999999999999645e-01,7.004702777894316945e+00,5.475526720700366390e+00,3.069955351492647821e+01
9.799999999999999822e-01,6.355953701854172522e+00,4.954681408776782092e+00,2.967449894321490689e+01
1.000000000000000000e+00,5.794270030731174970e+00,4.565346193168104527e+00,2.860833266122989471e+01
1.020000000000000018e+00,5.331256514248817524e+00,4.299475938957579402e+00,2.753701383088631616e+01
1.040000000000000036e+00,4.973651329205162064e+00,4.148125555297339062e+00,2.648564201920097716e+01
1.060000000000000053e+00,4.723414238520579289e+00,4.102404657912450681e+00,2.547157951593001002e+01
1.080000000000000071e+00,4.578341704008330737e+00,4.153876597863981779e+00,2.450724483560889055e+01
1.100000000000000089e+00,4.533329843822601291e+00,4.294899106173641457e+00,2.360230603451898901e+01
1.120000000000000107e+00,4.582007741130868617e+00,4.519092854265552184e+00,2.276530085370580991e+01
1.140000000000000124e+00,4.718246613863538386e+00,4.821806698439972116e+00,2.200482475569258511e+01
1.159999999999999920e+00,4.937153509768403836e+00,5.200329744457749648e+00,2.133043945493320237e+01
1.179999999999999938e+00,5.235427306490957555e+00,5.653689961102915440e+00,2.075342056406862312e+01
1.199999999999999956e+00,5.611158283859317919e+00,6.182014830102748881e+00,2.028740834577959262e+01
1.219999999999999973e+00,6.063200511107120327e+00,6.785489817529824386e+00,1.994896556517419839e+01
1.239999999999999991e+00,6.590200358128963209e+00,7.462932738541796063e+00,1.975797239842275488e+01
1.260000000000000009e+00,7.189299989150212511e+00,8.209964096115273335e+00,1.973769595174465152e+01
1.280000000000000027e+00,7.854503940742228352e+00,9.016751916514511578e+00,1.991425360831993174e+01
1.300000000000000044e+00,8.574726767139489780e+00,9.865389238099155023e+00,2.031505364662930901e+01
1.320000000000000062e+00,9.331652765036167807e+00,1.072716328812700937e+01,2.096568263712266855e+01
1.340000000000000080e+00,1.009775556690912524e+01,1.156032474584681680e+01,2.188471357762732339e+01
1.360000000000000098e+00,1.083513669941926949e+01,1.230943692573717918e+01,2.307620007317952471e+01
1.380000000000000115e+00,1.149616330122953300e+01,1.290781312415832716e+01,2.452041373946460112e+01
1.400000000000000133e+00,1.202699350968577896e+01,1.328455691720932030e+01,2.616477494824389183e+01
1.419999999999999929e+00,1.237462666150332780e+01,1.337675411710737450e+01,2.791861643969272322e+01
1.439999999999999947e+00,1.249682655311046098e+01,1.314508320906137406e+01,2.965637883148036735e+01
1.459999999999999964e+00,1.237236577223317724e+01,1.258808794056388258e+01,3.123252497868458022e+01
1.479999999999999982e+00,1.200758958202434101e+01,1.174853829104412739e+01,3.250699182963413136e+01
1.500000000000000000e+00,1.143582668067692687e+01,1.070709052867420752e+01,3.337391433387307416e+01
1.520000000000000018e+00,1.070923326855121438e+01,9.564199476225613950e+00,3.378274076746469490e+01
1.540000000000000036e+00,9.886614636898698905e+00,8.417566813384500080e+00,3.374334274383706145e+01
1.560000000000000053e+00,9.022637478505563635e+00,7.344436294002358423e+00,3.331441677324515638e+01
1.580000000000000071e+00,8.162129230498036847e+00,6.394208612439165051e+00,3.258206465171569732e+01
1.600000000000000089e+00,7.339509260648129363e+00,5.590643636616799306e+00,3.163800877218941920e+01
1.620000000000000107e+00,6.580868214121665005e+00,4.939101399055136454e+00,3.056411601396734667e+01
1.640000000000000124e+00,5.906158189903294442e+00,4.434323456361933147e+00,2.942510148133963099e+01
1.660000000000000142e+00,5.330328805507563494e+00,4.066337690610872357e+00,2.826774544147442825e+01
1.679999999999999938e+00,4.863470721878042191e+00,3.823976902331736927e+00,2.712374756429386480e+01
1.699999999999999956e+00,4.510554878773652909e+00,3.696465781524595151e+00,2.601378063931199947e+01
1.719999999999999973e+00,4.271433426839351455e+00,3.673839754794449686e+00,2.495130518801394359e+01
1.739999999999999991e+00,4.141609945590992936e+00,3.746983861445330799e+00,2.394557884718132712e+01
1.760000000000000009e+00,4.113860986253193630e+00,3.907866075993148947e+00,2.300381803779862722e+01
1.780000000000000027e+00,4.180250583100101558e+00,4.150088048963596954e+00,2.213269662498165857e+01
1.800000000000000044e+00,4.333856209658520697e+00,4.469467262002961405e+00,2.133941191305106955e+01
1.820000000000000062e+00,4.569770158902075607e+00,4.864290980201067427e+00,2.063251306160630705e+01
1.840000000000000080e+00,4.885339742571829014e+00,5.335078948565611157e+00,2.002262782190566881e+01
1.860000000000000098e+00,5.279830209323730372e+00,5.883880930799837650e+00,1.952316107820526625e+01
1.880000000000000115e+00,5.753692268520817166e+00,6.513178852608313640e+00,1.915097649530508050e+01
1.900000000000000133e+00,6.307515391228294632e+00,7.224403405292286529e+00,1.892699957141273615e+01
1.919999999999999929e+00,6.940650301335930195e+00,8.015999475354867343e+00,1.887658229602573456e+01
1.939999999999999947e+00,7.649433949102185437e+00,8.880945415497873086e+00,1.902933198499376743e+01
1.959999999999999964e+00,8.424967249463527708e+00,9.803692254729094557e+00,1.941792621379576289e+01
1.979999999999999982e+00,9.250507395298752655e+00,1.075669087022035697e+01,2.007524037333855915e+01
2.000000000000000000e+00,1.009877750413556896e+01,1.169707742294475672e+01,2.102899926228000638e+01
2.020000000000000018e+00,1.092989457145785615e+01,1.256470751307893607e+01,2.229333722039907073e+01
2.040000000000000036e+00,1.169110744023435799e+01,1.328344396445350206e+01,2.385742699399146716e+01
2.060000000000000053e+00,1.231988503871332341e+01,1.376797278232865374e+01,2.567301339132840710e+01
2.080000000000000071e+00,1.275161839626970028e+01,1.393765982104367218e+01,2.764512241082564969e+01
2.100000000000000089e+00,1.293174925384441387e+01,1.373626869927847594e+01,2.963226344341968854e+01
2.120000000000000107e+00,1.282951183897098346e+01,1.315201294173368929e+01,3.146181664827801683e+01
2.140000000000000124e+00,1.244792397738116740e+01,1.222883529059380159e+01,3.296097657237157819e+01
2.160000000000000142e+00,1.182458114468156829e+01,1.106095056556785927e+01,3.399477598677752610e+01
2.180000000000000160e+00,1.102169043389296554e+01,9.770284234290631531e+00,3.449610117070746185e+01
2.200000000000000178e+00,1.010978519227417216e+01,8.476286485145283933e+00,3.447466783016204062e+01
2.220000000000000195e+00,9.153012690228720771e+00,7.271746451034320380e+00,3.400267688381394038e+01
2.240000000000000213e+00,8.201744020003340907e+00,6.213066954663477581e+00,3.318645657785400971e+01
2.260000000000000231e+00,7.292662811291692471e+00,5.324007936213126513e+00,3.213763416258067451e+01
2.280000000000000249e+00,6.452476818059551533e+00,4.606054239922913851e+00,3.095330119018467485e+01
2.300000000000000266e+00,5.701410527102142467e+00,4.048907054016050111e+00,2.970749146021019982e+01
2.319999999999999840e+00,5.054911250413058887e+00,3.637986784673033824e+00,2.845124336263008757e+01
2.339999999999999858e+00,4.523829631644654903e+00,3.358623873923831216e+00,2.721706057816366808e+01
2.359999999999999876e+00,4.113892592987870245e+00,3.197736948971935167e+00,2.602446660488351071e+01
2.379999999999999893e+00,3.825253221299930395e+00,3.143963344783294200e+00,2.488487343252585049e+01
2.399999999999999911e+00,3.652834202868417535e+00,3.187198835830335586e+00,2.380518841726074797e+01
2.419999999999999929e+00,3.587873683514506418e+00,3.318408327908726640e+00,2.279023934397361018e+01
2.439999999999999947e+00,3.620339401227142595e+00,3.530097365853840152e+00,2.184433625758253683e+01
2.459999999999999964e+00,3.741273002187718522e+00,3.817145690010382175e+00,2.097230287382409841e+01
2.479999999999999982e+00,3.944286679825721897e+00,4.177412860172197817e+00,2.018024008582780127e+01
2.500000000000000000e+00,4.226059154890583258e+00,4.611780078584376774e+00,1.947620106194553813e+01
2.520000000000000018e+00,4.586103503595106545e+00,5.123649039885338041e+00,1.887088780672488397e+01
2.540000000000000036e+00,5.026118089683299317e+00,5.718044652228695846e+00,1.837842289840113708e+01
2.560000000000000053e+00,5.549079882416902088e+00,6.400392947118777265e+00,1.801719518623259475e+01
2.580000000000000071e+00,6.158079947196915427e+00,7.174913527212290809e+00,1.781070680674363516e+01
2.600000000000000089e+00,6.854796233438142927e+00,8.042464408422103972e+00,1.778823805519017043e+01
2.620000000000000107e+00,7.637453796191194577e+00,8.997641722546109833e+00,1.798497255182882881e+01
2.640000000000000124e+00,8.498147253180560412e+00,1.002500556940914755e+01,1.844097301349572149e+01
2.660000000000000142e+00,9.419536031015187660e+00,1.109454915303408029e+01,1.919808957127382953e+01
2.680000000000000160e+00,1.037123687799552307e+01,1.215705930142331681e+01,2.029363334560649790e+01
2.700000000000000178e+00,1.130679726187811340e+01,1.314090763228038483e+01,2.174974732693170054e+01
2.720000000000000195e+00,1.216288890399600398e+01,1.395294231353051728e+01,2.355835911896628332e+01
2.740000000000000213e+00,1.286298926022166000e+01,1.448691049608819270e+01,2.566396337501652170e+01
2.760000000000000231e+00,1.332755893567187044e+01,1.464195517597309859e+01,2.795021668313108165e+01
2.780000000000000249e+00,1.349062200171863246e+01,1.434976470275474014e+01,3.023973712303850903e+01
2.800000000000000266e+00,1.331856170918630156e+01,1.360212185063700474e+01,3.231577830699326626e+01
2.819999999999999840e+00,1.282293843658733934e+01,1.246494658677030287e+01,3.396606599425140161e+01
2.839999999999999858e+00,1.205928328373680358e+01,1.106722836892989115e+01,3.503508093154174219e+01
2.859999999999999876e+00,1.111052931382195297e+01,9.566117484322937514e+00,3.546159566710110056e+01
2.879999999999999893e+00,1.006328821390727235e+01,8.104699474295722794e+00,3.528372434795286239e+01
2.899999999999999911e+00,8.989362222631944732e+00,6.782973957611047489e+00,3.461207365484294485e+01
2.919999999999999929e+00,7.939593328234370695e+00,5.651480253556868227e+00,3.358807110913071625e+01
2.939999999999999947e+00,6.947749121759221325e+00,4.722043432155791365e+00,3.234725543119026980e+01
2.959999999999999964e+00,6.037341239277491667e+00,3.983901095953870541e+00,3.099820886604793202e+01
2.979999999999999982e+00,5.226297175306357623e+00,3.416944394413815367e+00,2.961698216400705164e+01
3.000000000000000000e+00,4.528600616177335780e+00,2.999747583406437546e+00,2.825120601522617747e+01
3.020000000000000018e+00,3.954146196430483595e+00,2.713373107759827541e+00,2.692782533278044710e+01
3.040000000000000036e+00,3.507951686701799243e+00,2.542481379114963858e+00,2.566061470173140435e+01
3.060000000000000053e+00,3.189332056315762998e+00,2.474818983839821129e+00,2.445590945037987751e+01
3.080000000000000071e+00,2.991720902389842784e+00,2.499973976750377247e+00,2.331639552645546587e+01
3.100000000000000089e+00,2.903984002164113232e+00,2.608476194289488959e+00,2.224339008053441091e+01
3.120000000000000107e+00,2.913247136745515053e+00,2.792043067679705448e+00,2.123814796965498530e+01
3.140000000000000124e+00,3.007993552458754660e+00,3.044715913899060489e+00,2.030263339361706088e+01
3.160000000000000142e+00,3.180093192271002955e+00,3.363912030757156835e+00,1.944005917871158218e+01
3.180000000000000160e+00,3.425445729928849659e+00,3.750759741800682168e+00,1.865538430714857654e+01
3.200000000000000178e+00,3.743703776449139653e+00,4.209755162908371595e+00,1.795588576881785414e+01
3.220000000000000195e+00,4.137607163695956380e+00,4.748038982029895827e+00,1.735187606298105223e+01
3.240000000000000213e+00,4.612196460968243983e+00,5.374478436743611809e+00,1.685760750893990334e+01
3.260000000000000231e+00,5.173931497191238904e+00,6.098536754262405601e+00,1.649237124142667454e+01
3.280000000000000249e+00,5.829594238195901390e+00,6.928752458925869995e+00,1.628174080324338391e+01
3.300000000000000266e+00,6.584772087289088027e+00,7.870544249858705044e+00,1.625879824663504536e+01
3.320000000000000284e+00,7.441669258250868779e+00,8.922999836806926766e+00,1.646497717714676057e+01
3.339999999999999858e+00,8.395994726251622353e+00,1.007433380364506093e+01,1.694981889804121877e+01
3.359999999999999876e+00,9.432786309348800913e+00,1.129592197440405243e+01,1.776845382783924165e+01
3.379999999999999893e+00,1.052137532592982438e+01,1.253542257703447049e+01,1.897507711239416039e+01
3.399999999999999911e+00,1.161042529737816231e+01,1.371070421070228917e+01,2.061043105785925889e+01
3.419999999999999929e+00,1.262515719166063377e+01,1.470814586826485382e+01,2.268210064020044925e+01
3.439999999999999947e+00,1.347017873066175575e+01,1.539070175211757174e+01,2.513939932600948879e+01
3.459999999999999964e+00,1.404165075376603511e+01,1.562097111693509355e+01,2.785041999486345787e+01
3.479999999999999982e+00,1.425000152266641429e+01,1.529943189769391942e+01,3.059555667050723926e+01
3.500000000000000000e+00,1.404796586969491301e+01,1.440688631845146439e+01,3.309320341005904709e+01
3.520000000000000018e+00,1.345113090731111072e+01,1.302881540078003653e+01,3.506158110959243146e+01
3.540000000000000036e+00,1.253687588806090858e+01,1.134063220269913330e+01,3.629678726438327629e+01
3.560000000000000053e+00,1.141840765605305208e+01,9.554197810279992709e+00,3.672890305671419497e+01
3.580000000000000071e+00,1.020774811591331144e+01,7.853575317518458832e+00,3.642642850056311943e+01
3.600000000000000089e+00,8.989174808970316732e+00,6.354910254286881610e+00,3.555162864787536137e+01
3.620000000000000107e+00,7.814246288626788939e+00,5.103834735330742944e+00,3.429703572572665848e+01
3.640000000000000124e+00,6.712062236514835689e+00,4.097166550554150355e+00,3.283477894759671045e+01
3.660000000000000142e+00,5.701282404680259042e+00,3.308055863735428037e+00,3.129237878384488170e+01
3.680000000000000160e+00,4.796400874759492616e+00,2.703197950532287841e+00,2.975100318862587301e+01
3.700000000000000178e+00,4.008912772152967818e+00,2.251378807431214657e+00,2.825534905345634584e+01
3.720000000000000195e+00,3.346739045800671608e+00,1.926686655012833427e+00,2.682607753792810357e+01
3.740000000000000213e+00,2.813849156602040491e+00,1.709236805997433217e+00,2.547013509706276935e+01
3.760000000000000231e+00,2.410062330855180956e+00,1.584696818881986546e+00,2.418772211627916136e+01
3.780000000000000249e+00,2.130374303220452958e+00,1.542821116773466228e+00,2.297636414955600515e+01
3.800000000000000266e+00,1.964223042259738650e+00,1.575212870486000671e+00,2.183301238225551799e+01
3.820000000000000284e+00,1.896506638884659868e+00,1.673584281915735383e+00,2.075500280332688163e+01
3.839999999999999858e+00,1.911073419075189461e+00,1.830013573698923146e+00,1.974044940582973240e+01
3.859999999999999876e+00,1.994600982895337715e+00,2.038762584575588566e+00,1.878841640486141173e+01
3.879999999999999893e+00,2.138617356629622712e+00,2.297807196976702659e+00,1.789905759509104044e+01
3.899999999999999911e+00,2.339593954384279861e+00,2.609191471002108909e+00,1.707382171976896501e+01
3.919999999999999929e+00,2.598185852837152865e+00,2.978592903509092782e+00,1.631578113164211175e+01
3.939999999999999947e+00,2.918408252472026287e+00,3.414696983745874714e+00,1.563012838341824029e+01
3.959999999999999964e+00,3.307005704074538865e+00,3.928655409804214571e+00,1.502488806940038124e+01
3.979999999999999982e+00,3.772983063859776109e+00,4.533619516093439827e+00,1.451189942957755186e+01
4.000000000000000000e+00,4.327161761248486727e+00,5.244191420767994494e+00,1.410812893296629156e+01
4.020000000000000462e+00,4.981575940697176463e+00,6.075545932717441033e+00,1.383735745017456864e+01
4.040000000000000036e+00,5.748468616394345254e+00,7.041879047383049262e+00,1.373222590612822636e+01
4.060000000000000497e+00,6.638565251730580208e+00,8.153718336852552540e+00,1.383647325149703633e+01
4.080000000000000071e+00,7.658206793679462443e+00,9.413494577976278421e+00,1.420687773414615940e+01
4.099999999999999645e+00,8.804863278101048962e+00,1.080873356292466170e+01,1.491382321136076605e+01
4.120000000000000107e+00,1.006066372337038572e+01,1.230248558865504194e+01,1.603845733800462980e+01
4.139999999999999680e+00,1.138412715137209297e+01,1.382161720044054043e+01,1.766319782402513638e+01
4.160000000000000142e+00,1.270165265032328428e+01,1.524591272202627934e+01,1.985150288949687436e+01
4.179999999999999716e+00,1.390277470121854719e+01,1.640485189605933058e+01,2.261407417876345960e+01
4.200000000000000178e+00,1.484606577969755570e+01,1.709306107387439866e+01,2.586483275568847517e+01
4.219999999999999751e+00,1.538313589835776085e+01,1.711491728665545509e+01,2.938288111656594026e+01
4.240000000000000213e+00,1.540173074803155373e+01,1.635605923518494720e+01,3.281104616190735612e+01
4.259999999999999787e+00,1.487350434701204627e+01,1.485326728519717854e+01,3.572041866005439914e+01
4.280000000000000249e+00,1.387709706753642713e+01,1.281331116065493347e+01,3.773589033629335887e+01
4.299999999999999822e+00,1.257265190585557058e+01,1.054937727853183027e+01,3.866383392682327980e+01
4.320000000000000284e+00,1.113702528716679474e+01,8.364083821167037414e+00,3.854402688510605657e+01
4.339999999999999858e+00,9.702438122855186364e+00,6.454737813515194489e+00,3.759779874318360982e+01
4.360000000000000320e+00,8.336982174726452754e+00,4.892957418322267493e+00,3.611794605335464325e+01
4.379999999999999893e+00,7.065205018162687090e+00,3.663831082764086755e+00,3.437060914592874639e+01
4.400000000000000355e+00,5.897095358253443109e+00,2.715998801606107627e+00,3.254678983347516663e+01
4.419999999999999929e+00,4.842464790323093737e+00,1.993117378808282547e+00,3.075901399316920148e+01
4.440000000000000391e+00,3.911178588872104900e+00,1.446000891917078590e+00,2.906060993785313329e+01
4.459999999999999964e+00,3.109038527335235003e+00,1.034782925712288693e+00,2.746871856763545949e+01
4.480000000000000426e+00,2.435387327018065040e+00,7.278508239655973044e-01,2.598214453303264193e+01
4.500000000000000000e+00,1.883388843407305169e+00,5.002984432682141547e-01,2.459241125138074224e+01
4.520000000000000462e+00,1.441866039753721518e+00,3.326031060807447814e-01,2.328949171662227258e+01
4.540000000000000036e+00,1.097549981032416522e+00,2.095726092850121181e-01,2.206423376959651605e+01
4.560000000000000497e+00,8.370989820377807700e-01,1.194713899255355760e-01,2.090905370647882933e+01
4.580000000000000071e+00,6.485851077465392134e-01,5.321960043773240473e-02,1.981787238684492536e+01
4.600000000000000533e+00,5.220954873877177160e-01,3.580117045066901448e-03,1.878580710195841164e+01
4.620000000000000107e+00,4.488771186986261208e-01,-3.554047225825401196e-02,1.780884886221334185e+01
4.639999999999999680e+00,4.194353462089742135e-01,-6.915287960862717687e-02,1.688360500253832086e+01
4.660000000000000142e+00,4.233492891367241495e-01,-1.006258068500699571e-01,1.600711907227434949e+01
4.679999999999999716e+00,4.518283735469096896e-01,-1.317708027663177794e-01,1.517675538174632344e+01
4.700000000000000178e+00,4.996741310667460745e-01,-1.637627409072295037e-01,1.439013094419563643e+01
4.719999999999999751e+00,5.650666698172212010e-01,-1.978212615305789401e-01,1.364508053301094570e+01
4.740000000000000213e+00,6.485473489171167394e-01,-2.353826751740902834e-01,1.293964549891766502e+01
4.759999999999999787e+00,7.522531295793307704e-01,-2.780825357894500249e-01,1.227208174682407815e+01
4.780000000000000249e+00,8.795589540035432252e-01,-3.277483373892101648e-01,1.164088643222097375e+01
4.799999999999999822e+00,1.035004095234220989e+00,-3.864417012787645378e-01,1.104484679488773935e+01
4.820000000000000284e+00,1.224388847174485040e+00,-4.565395498188594692e-01,1.048311868727837926e+01
4.839999999999999858e+00,1.454980032808172785e+00,-5.408419414465840402e-01,9.955347508340230078e+00
4.860000000000000320e+00,1.735799387638438329e+00,-6.427012020863714925e-01,9.461851335865247847e+00
4.879999999999999893e+00,2.077986394826760286e+00,-7.661721319233522065e-01,9.003896227844487399e+00
4.900000000000000355e+00,2.495232037299061290e+00,-9.161851303551798997e-01,8.584108466995273190e+00
4.919999999999999929e+00,3.004274549834534902e+00,-1.098743172630406661e+00,8.207089922992565789e+00
4.940000000000000391e+00,3.625430163659215221e+00,-1.321139328476539587e+00,7.880332960566098777e+00
4.959999999999999964e+00,4.383093381738532912e+00,-1.592182083109332735e+00,7.615572299340528595e+00
4.980000000000000426e+00,5.306067358799697153e+00,-1.922396994777563428e+00,7.430762359852001175e+00
5.000000000000000000e+00,6.427449439452306734e+00,-2.324138629282674451e+00,7.352921709199862654e+00
5.020000000000000462e+00,7.783557640681133094e+00,-2.811484378941010220e+00,7.422113108536168902e+00
5.040000000000000036e+00,9.410984630838973075e+00,-3.399675450034870483e+00,7.696754196760127620e+00
5.060000000000000497e+00,1.134025496123267551e+01,-4.103701962662695379e+00,8.260113650476025526e+00
5.080000000000000071e+00,1.358376540276253586e+01,-4.935392103011086107e+00,9.226896999921899933e+00
5.100000000000000533e+00,1.611505847543412528e+01,-5.898123249350342157e+00,1.074670035934155976e+01
5.120000000000000107e+00,1.883715642746902930e+01,-6.978261875302208317e+00,1.299713500790516463e+01
5.139999999999999680e+00,2.154237425960004870e+01,-8.133283801903546717e+00,1.615378301975725606e+01
5.160000000000000142e+00,2.387890890178765702e+01,-9.279313487385202563e+00,2.032052008220941630e+01
5.179999999999999716e+00,2.536187623143688441e+01,-1.028636596039264361e+01,2.541360079919733295e+01
5.200000000000000178e+00,2.548325944220094286e+01,-1.099554409654683873e+01,3.103383663467182174e+01
5.219999999999999751e+00,2.394168006380857250e+01,-1.126942016783403311e+01,3.643008896734087898e+01
5.240000000000000213e+00,2.089089835681492957e+01,-1.106286476641757588e+01,4.067980143000183801e+01
5.259999999999999787e+00,1.698116230413565475e+01,-1.046567576871189154e+01,4.307340397963218237e+01
5.280000000000000249e+00,1.305999512383652394e+01,-9.664482235149300493e+00,4.344985212312823819e+01
5.299999999999999822e+00,9.732612301736537574e+00,-8.832150670190712205e+00,4.220629352848183657e+01
5.320000000000000284e+00,7.165028613673992020e+00,-8.039212280203217986e+00,4.000530180761386845e+01
5.339999999999999858e+00,5.237569162674783563e+00,-7.279242013851791704e+00,3.745221878374761815e+01
5.360000000000000320e+00,3.780439369081046053e+00,-6.556618458702709873e+00,3.493940928687921854e+01
5.379999999999999893e+00,2.673029616121274987e+00,-5.920129375662345872e+00,3.265151658030657700e+01
5.400000000000000355e+00,1.837328186686211007e+00,-5.433968886956768607e+00,3.063744093239156641e+01
5.419999999999999929e+00,1.212593593825531890e+00,-5.139210509525696580e+00,2.887987600577551461e+01
5.440000000000000391e+00,7.452174486086169392e-01,-5.036294672506437919e+00,2.733975547360409664e+01
5.459999999999999964e+00,3.913718097056453349e-01,-5.094500105239870180e+00,2.597817262750109535e+01
5.480000000000000426e+00,1.198355727889418715e-01,-5.275388405902788236e+00,2.476449979310996952e+01
5.500000000000000000e+00,-9.032779687206243802e-02,-5.550184356069345348e+00,2.367780646791322496e+01
