time,y
0.000000000000000000e+00,2.252318481629676228e+01
2.000000000000000042e-02,1.556385947245211021e+01
4.000000000000000083e-02,1.299432292643145814e+01
5.999999999999999778e-02,1.372410082969879142e+01
8.000000000000000167e-02,1.594291083486313454e+01
1.000000000000000056e-01,1.865257933849057892e+01
1.199999999999999956e-01,2.134083261784099150e+01
1.400000000000000133e-01,2.354785642976328219e+01
1.600000000000000033e-01,2.476988926752124343e+01
1.799999999999999933e-01,2.458388488723504750e+01
2.000000000000000111e-01,2.289165029283295638e+01
2.200000000000000011e-01,2.008317223920478511e+01
2.399999999999999911e-01,1.689598971644064918e+01
2.600000000000000089e-01,1.400038868133856873e+01
2.800000000000000266e-01,1.166626092182111130e+01
2.999999999999999889e-01,9.817491717815238772e+00
3.200000000000000067e-01,8.313016459653859158e+00
3.400000000000000244e-01,7.096920173727362169e+00
3.599999999999999867e-01,6.172613329758681822e+00
3.800000000000000044e-01,5.539486881658540973e+00
4.000000000000000222e-01,5.165336877570763541e+00
4.199999999999999845e-01,4.996773076657811785e+00
4.400000000000000022e-01,4.981881474160613443e+00
4.600000000000000200e-01,5.083252135128502047e+00
4.799999999999999822e-01,5.278858856470074024e+00
5.000000000000000000e-01,5.557714866228582018e+00
5.200000000000000178e-01,5.915264868041452573e+00
5.400000000000000355e-01,6.349965118909903339e+00
5.600000000000000533e-01,6.860909225950623913e+00
5.799999999999999600e-01,7.446012320911129301e+00
5.999999999999999778e-01,8.100334457183530290e+00
6.199999999999999956e-01,8.814278823057035694e+00
6.400000000000000133e-01,9.571580500532768099e+00
6.600000000000000311e-01,1.034722226635261677e+01
6.800000000000000488e-01,1.110570567072756454e+01
7.000000000000000666e-01,1.180045887935396109e+01
7.199999999999999734e-01,1.237547867238469834e+01
7.399999999999999911e-01,1.277034379241299966e+01
7.600000000000000089e-01,1.292914565621811995e+01
7.800000000000000266e-01,1.281239711266812975e+01
8.000000000000000444e-01,1.240886639920753787e+01
8.200000000000000622e-01,1.174267493878758550e+01
8.399999999999999689e-01,1.087153322713328052e+01
8.599999999999999867e-01,9.875378959918331034e+00
8.800000000000000044e-01,8.839364213357761457e+00
9.000000000000000222e-01,7.837876070614511193e+00
9.200000000000000400e-01,6.925014686677087639e+00
9.400000000000000577e-01,6.132900312270909815e+00
9.599999999999999645e-01,5.475526720700366390e+00
9.799999999999999822e-01,4.954681408776782092e+00
1.000000000000000000e+00,4.565346193168104527e+00
1.020000000000000018e+00,4.299475938957579402e+00
1.040000000000000036e+00,4.148125555297339062e+00
