time,z
0.000000000000000000e+00,7.928778699579855704e+00
2.000000000000000042e-02,5.412233233110444353e+00
4.000000000000000083e-02,5.397552032845175596e+00
5.999999999999999778e-02,6.738167694461003165e+00
8.000000000000000167e-02,9.057107979363856032e+00
1.000000000000000056e-01,1.233915068221005029e+01
1.199999999999999956e-01,1.667797113633275430e+01
1.400000000000000133e-01,2.207544479030611129e+01
1.600000000000000033e-01,2.824591896626289511e+01
1.799999999999999933e-01,3.448777944764152181e+01
2.000000000000000111e-01,3.977706005247641485e+01
2.200000000000000011e-01,4.316219340358640011e+01
2.399999999999999911e-01,4.424146393556405599e+01
2.600000000000000089e-01,4.332213667452391093e+01
2.800000000000000266e-01,4.114213930053143287e+01
2.999999999999999889e-01,3.845012374787290810e+01
3.200000000000000067e-01,3.575824443085398485e+01
3.400000000000000244e-01,3.331686795445996552e+01
3.599999999999999867e-01,3.119737505681539247e+01
3.800000000000000044e-01,2.938190789415018855e+01
4.000000000000000222e-01,2.782249880111567109e+01
4.199999999999999845e-01,2.647046328009783878e+01
4.400000000000000022e-01,2.528731179148774544e+01
4.600000000000000200e-01,2.424669101955213435e+01
4.799999999999999822e-01,2.333294113731163577e+01
5.000000000000000000e-01,2.253893851712561514e+01
5.200000000000000178e-01,2.186425672841472689e+01
5.400000000000000355e-01,2.131389558315623134e+01
5.600000000000000533e-01,2.089749793494730312e+01
5.799999999999999600e-01,2.062884629372441836e+01
5.999999999999999778e-01,2.052537226384726310e+01
6.199999999999999956e-01,2.060735810395883760e+01
6.400000000000000133e-01,2.089644763713116404e+01
6.600000000000000311e-01,2.141303102907566824e+01
6.800000000000000488e-01,2.217209356247214558e+01
7.000000000000000666e-01,2.317733809689609359e+01
7.199999999999999734e-01,2.441394149499437916e+01
7.399999999999999911e-01,2.584126981425094982e+01
7.600000000000000089e-01,2.738807500540920614e+01
7.800000000000000266e-01,2.895351012514213451e+01
8.000000000000000444e-01,3.041671880635960434e+01
8.200000000000000622e-01,3.165503591358588764e+01
8.399999999999999689e-01,3.256658396331146577e+01
8.599999999999999867e-01,3.308969160006567733e+01
8.800000000000000044e-01,3.321187643893048147e+01
9.000000000000000222e-01,3.296564221375579962e+01
9.200000000000000400e-01,3.241423937765043206e+01
9.400000000000000577e-01,3.163402418110557690e+01
9.599999999999999645e-01,3.069955351492647821e+01
9.799999999999999822e-01,2.967449894321490689e+01
1.000000000000000000e+00,2.860833266122989471e+01
1.020000000000000018e+00,2.753701383088631616e+01
1.040000000000000036e+00,2.648564201920097716e+01
1.060000000000000053e+00,2.547157951593001002e+01
1.080000000000000071e+00,2.450724483560889055e+01
1.100000000000000089e+00,2.360230603451898901e+01
1.120000000000000107e+00,2.276530085370580991e+01
1.140000000000000124e+00,2.200482475569258511e+01
1.159999999999999920e+00,2.133043945493320237e+01
1.179999999999999938e+00,2.075342056406862312e+01
1.199999999999999956e+00,2.028740834577959262e+01
1.219999999999999973e+00,1.994896556517419839e+01
1.239999999999999991e+00,1.975797239842275488e+01
1.260000000000000009e+00,1.973769595174465152e+01
1.280000000000000027e+00,1.991425360831993174e+01
1.300000000000000044e+00,2.031505364662930901e+01
1.320000000000000062e+00,2.096568263712266855e+01
1.340000000000000080e+00,2.188471357762732339e+01
1.360000000000000098e+00,2.307620007317952471e+01
1.380000000000000115e+00,2.452041373946460112e+01
1.400000000000000133e+00,2.616477494824389183e+01
1.419999999999999929e+00,2.791861643969272322e+01
1.439999999999999947e+00,2.965637883148036735e+01
1.459999999999999964e+00,3.123252497868458022e+01
1.479999999999999982e+00,3.250699182963413136e+01
1.500000000000000000e+00,3.337391433387307416e+01
1.520000000000000018e+00,3.378274076746469490e+01
1.540000000000000036e+00,3.374334274383706145e+01
1.560000000000000053e+00,3.331441677324515638e+01
1.580000000000000071e+00,3.258206465171569732e+01
1.600000000000000089e+00,3.163800877218941920e+01
1.620000000000000107e+00,3.056411601396734667e+01
1.640000000000000124e+00,2.942510148133963099e+01
1.660000000000000142e+00,2.826774544147442825e+01
1.679999999999999938e+00,2.712374756429386480e+01
1.699999999999999956e+00,2.601378063931199947e+01
1.719999999999999973e+00,2.495130518801394359e+01
1.739999999999999991e+00,2.394557884718132712e+01
