time,y
0,-3.545
0.2,0.7834
0.4,6.641
0.6,11.75
0.8,12.17
1,7.598
1.2,10.96
1.4,13.1
1.6,7.584
1.8,9.958
2,13.93
2.2,7.849
2.4,8.867
2.6,14.41
2.8,8.502
3,7.779
3.2,14.25
3.4,9.668
3.6,6.805
3.8,13.22
4,11.45
4.2,6.092
4.4,11.35
4.6,13.76
4.8,5.888
5,8.971
5.2,15.83
5.4,6.652
5.6,6.58
5.8,15.63
6,9.121
6.2,4.655
6.4,11.84
6.6,14.14
6.8,3.954
7,6.51
7.2,17.96
7.4,6.921
7.6,2.524
7.8,8.529
8,18.99
8.2,3.515
8.4,0.2446
8.6,0.6715
8.8,4.557
9,21.74
9.2,0.2288
9.4,-3.364
9.6,-7.212
9.8,-5.227
10,-3.023
10.2,-6.243
10.4,-6.594
10.6,-2.728
10.8,-4.712
11,-7.99
11.2,-3.101
11.4,-3.108
11.6,-7.935
11.8,-4.896
12,-1.917
12.2,-5.059
12.4,-8.284
12.6,-2.007
12.8,-1.731
13,-6.694
13.2,-7.117
13.4,-0.9756
13.6,-1.125
13.8,-6.304
14,-26.98
14.2,-3.924
14.4,-1.639
14.6,-4.008
14.8,-0.09346
15,-0.5932
15.2,-2.91
15.4,-2.406
15.6,0.2512
15.8,-1.179
16,-4.51
16.2,0.4694
16.4,0.1234
16.6,-0.7717
16.8,-4.169
17,0.1707
17.2,2.162
17.4,6.454
17.6,18.82
17.8,6.215
18,1.425
18.2,5.074
18.4,20.52
18.6,6.438
18.8,2.372
19,8.403
19.2,14.4
19.4,1.09
19.6,0.109
19.8,0.6015
20,4.157
20.2,21.66
20.4,0.4758
20.6,-3.331
20.8,-7.073
21,-5.369
21.2,-3.097
21.4,-6.168
21.6,-6.617
21.8,-2.846
22,-4.786
22.2,-7.87
22.4,-3.173
22.6,-3.315
22.8,-7.975
23,-4.677
23.2,-2.158
23.4,-5.675
23.6,-7.631
23.8,-1.907
24,-2.477
24.2,-8.291
24.4,-5.167
24.6,-0.6408
24.8,-1.302
25,-6.669
