time,z
0,5.075
0.2,46.18
0.4,26.06
0.6,23.98
0.8,30.88
1,25.82
1.2,23.01
1.4,30.69
1.6,26.81
1.8,22.35
2,29.87
2.2,28.05
2.4,22.04
2.6,28.28
2.8,29.53
3,22.16
3.2,25.98
3.4,31.14
3.6,22.8
3.8,23.36
4,32.55
4.2,24.03
4.4,21.08
4.6,32.85
4.8,25.99
5,19.75
5.2,30.47
5.4,28.84
5.6,19.78
5.8,24.79
6,32.65
6.2,21.4
6.4,18.86
6.6,35.31
6.8,25
7,16.68
7.2,26.77
7.4,31.89
7.6,19.18
7.8,13.9
8,34.97
8.2,27.87
8.4,16.23
8.6,9.539
8.8,6.189
9,26.89
9.2,32.1
9.4,21.07
9.6,26.53
9.8,31.23
10,21.67
10.2,22.36
10.4,33.62
10.6,23.51
10.8,19.13
11,33.49
11.2,26.71
11.4,18.17
11.6,26.52
11.8,31.85
12,19.94
12.2,17.11
12.4,36.58
12.6,25.04
12.8,15.37
13,17.87
13.2,37.46
13.4,21.86
13.6,12.84
13.8,8.313
14,27.91
14.2,31.69
14.4,19.65
14.6,23.28
14.8,33.66
15,21.71
15.2,17.24
15.4,34.93
15.6,26.53
15.8,16.57
16,19.7
16.2,36.23
16.4,21.55
16.6,12.9
16.8,12.97
17,40.81
17.2,23.61
17.4,15.48
17.6,27.56
17.8,31.57
18,18.55
18.2,11.76
18.4,24.57
18.6,33.19
18.8,19.12
19,14.21
19.2,35.94
19.4,27.21
19.6,15.88
19.8,9.327
20,5.961
20.2,24.35
20.4,33.01
20.6,21.43
20.8,26.18
21,31.36
21.2,22.01
21.4,22.44
21.6,33.44
21.8,23.74
22,19.51
22.2,33.3
22.4,26.64
22.6,18.5
22.8,27.5
23,31.18
23.2,19.83
23.4,18.63
23.6,36.22
23.8,23.94
24,15.42
24.2,24.47
24.4,33.3
24.6,19.46
24.8,11.74
25,14.86
25.2,39.33
25.4,22.19
25.6,15.77
25.8,32.76
26,28.62
26.2,17.06
26.4,13.01
26.6,37.63
26.8,26.66
27,15.66
27.2,11.55
27.4,37.5
27.6,27.31
27.8,16.42
28,17.15
28.2,37.89
28.4,22.67
28.6,13.29
28.8,7.907
29,9.44
29.2,43.27
29.4,24.29
29.6,20.59
29.8,33.28
30,25.94
30.2,19.13
30.4,30
30.6,29.39
30.8,19.49
31,22.69
31.2,34.03
31.4,21.91
31.6,16.83
31.8,34.41
32,27.15
32.2,16.72
32.4,17.7
32.6,37.51
32.8,22.55
33,13.29
33.2,9.199
33.4,34.88
33.6,29.04
