time,x
0,-13.21006
0.2,-16.751138
0.4,-4.5197996
0.6,-6.7216165
0.8,-5.7292455
1,-3.5829799
1.2,-6.2442543
1.4,-6.4277071
1.6,-3.3878781
1.8,-5.6649319
2,-7.1740135
2.2,-3.3135796
2.4,-4.9876584
2.6,-7.7969764
2.8,-3.435784
3,-4.2639258
3.2,-8.0502901
3.4,-3.8793013
3.6,-3.5493272
3.8,-7.7135757
4,-4.8319736
4.2,-2.9058557
4.4,-6.7409747
4.6,-6.45519
4.8,-2.425894
5,-5.3212846
5.2,-8.4102244
5.4,-2.3047878
5.6,-3.7716161
5.8,-9.1722189
6,-3.0726479
6.2,-2.3713639
6.4,-7.3068912
6.6,-6.1711925
6.8,-1.3634526
7,-3.9967132
7.2,-10.51817
7.4,-1.5602708
7.6,-1.28789
7.8,-5.4974035
8,-9.8660019
8.2,-0.090423544
8.4,0.10556288
8.6,0.52979797
8.8,3.5218155
9,18.392715
9.2,6.6498865
9.4,7.993015
9.6,15.897543
9.8,7.8008218
10,6.2073806
10.2,14.55859
10.4,10.474747
10.6,4.8699127
10.8,11.271185
11,14.975279
11.2,4.4310053
11.4,7.2768829
11.6,17.958458
11.8,6.2100828
12,3.9045422
12.2,12.651941
12.4,14.014026
12.6,2.3564713
12.8,4.2073
13,17.004129
13.2,8.7656538
13.4,0.46870187
13.6,-0.048384706
13.8,-0.22719216
14,-2.2173136
14.2,-4.3330906
14.4,-6.6702726
14.6,-17.466169
14.8,-10.303846
15,-4.39961
15.2,-11.6955
15.4,-17.797254
15.6,-4.1037225
15.8,-5.0647829
16,-17.987037
16.2,-10.704943
16.4,-1.4216635
16.6,-2.9693986
16.8,-15.138054
17,-14.496782
17.2,-1.9758483
17.4,-4.0955168
17.6,-11.013227
17.8,-1.0533824
18,-0.66553532
18.2,-3.313329
18.4,-12.634333
18.6,-0.12167007
18.8,1.8371326
19,6.8465427
19.2,14.597733
19.4,3.0135854
19.6,0.18131392
19.8,0.47752859
20,3.209367
20.2,18.00966
20.4,7.0523652
20.6,7.9134865
20.8,15.635487
21,8.1502739
21.2,6.2951471
21.4,14.326127
21.6,10.673324
21.8,5.0860496
22,11.374377
22.2,14.706801
22.4,4.6602726
22.6,7.7423399
22.8,17.703169
23,6.0605794
23.2,4.5230874
23.4,13.994487
23.6,12.041925
23.8,2.637931
24,6.1126519
24.2,19.713684
24.4,5.4530526
24.6,0.91612059
24.8,3.3983606
25,17.583333
25.2,8.2933071
25.4,0.076976375
25.6,-0.62330029
25.8,-2.843364
26,-2.027846
26.2,-0.30080115
26.4,-0.56596555
26.6,-3.6350756
26.8,-1.9139221
27,-2.1644972
27.2,-9.9456706
27.4,-21.867852
27.6,-2.8096115
27.8,-2.3475467
28,-9.073281
28.2,-3.8482168
28.4,0.0010393145
28.6,-0.20884563
28.8,-1.3157991
29,-8.9826878
29.2,-3.367542
29.4,3.5441905
29.6,8.6215047
29.8,11.305643
30,4.5791269
30.2,6.4982239
30.4,12.817024
30.6,5.6232659
30.8,4.4713828
31,11.612168
31.2,8.5444376
31.4,3.0886132
31.6,7.3112194
31.8,13.424307
32,3.6319222
32.2,2.9847266
32.4,10.848936
32.6,10.148779
32.8,1.304029
33,0.98100398
33.2,5.1540192
33.4,17.432623
33.6,4.5533793
33.8,6.3110469
34,17.560562
34.2,7.3354044
34.4,3.0765009
34.6,9.9119431
34.8,17.984476
35,2.6870645
35.2,2.0913971
35.4,9.5177276
35.6,19.743634
35.8,1.4356346
36,-0.19865187
36.2,-0.78264968
36.4,-4.1068529
36.6,-1.2520304
36.8,-1.542269
37,-7.8947828
37.2,-24.946893
37.4,-3.7922508
37.6,-3.2126571
37.8,-9.6721745
38,-2.9501056
38.2,-1.0790173
38.4,-4.3292094
38.6,-11.253724
38.8,-0.55222123
39,-0.14182791
39.2,-0.97419762
39.4,-6.1790499
39.6,-8.9933945
39.8,2.2534271
40,6.3069712
40.2,13.06472
40.4,5.4719798
40.6,4.0922141
40.8,11.334816
41,9.0418125
41.2,2.6869681
41.4,6.0851993
41.6,14.461445
41.8,4.259617
42,1.7398147
42.2,6.6631817
42.4,15.159152
42.6,2.9912242
42.8,2.108613
43,9.5229649
43.2,19.831464
43.4,1.3584474
43.6,-0.23942862
43.8,-0.92506533
44,-4.0761733
44.2,-0.92708237
44.4,-0.30219996
44.6,-1.606807
44.8,-11.304199
45,-20.430262
45.2,-3.670885
45.4,-6.0278576
45.6,-7.526658
45.8,-2.3945091
46,-4.5454732
46.2,-8.9650541
46.4,-2.6272728
46.6,-3.1386876
46.8,-8.5480665
47,-4.159785
47.2,-1.951915
47.4,-5.9936507
47.6,-8.2451128
47.8,-1.295749
48,-2.9609473
48.2,-9.8491626
48.4,-2.7914673
48.6,-0.7834727
48.8,-3.396856
49,-11.865798
49.2,-0.72350872
49.4,0.56567769
49.6,2.4494735
49.8,12.47553
50,9.2333787
50.2,3.2832995
50.4,9.6218016
50.6,18.203407
50.8,3.0141654
51,2.4980947
51.2,10.870206
51.4,17.400654
51.6,1.222627
51.8,-0.1252703
52,-0.52786707
52.2,-3.8643028
52.4,-2.228131
52.6,-4.1648505
52.8,-16.634042
53,-12.433784
53.2,-1.1214999
53.4,-0.42020149
53.6,-2.3092367
53.8,-12.988864
54,0.22836797
54.2,3.9975446
54.4,10.31095
54.6,9.833504
54.8,3.6757227
55,7.1444162
55.2,13.122597
55.4,4.3537273
55.6,3.9783121
55.8,12.090977
56,8.4017235
56.2,2.0255567
56.4,4.9360254
56.6,15.19142
56.8,5.0191739
57,0.3342195
57.2,0.27815019
57.4,1.7527734
57.6,12.36281
57.8,10.297029
58,6.6247859
58.2,13.701141
58.4,11.163746
58.6,5.706891
58.8,11.549695
59,14.074095
59.2,5.3464004
59.4,8.8550511
59.6,16.648019
59.8,6.0456945
60,6.1942525
60.2,16.026184
60.4,8.912498
60.6,4.0886597
60.8,11.171714
61,15.672831
61.2,3.4324885
61.4,5.352013
61.6,17.794646
61.8,7.5772341
62,1.563149
62.2,5.0839846
62.4,20.548021
62.6,5.361423
62.8,0.079196789
63,-0.32397132
63.2,-1.8635186
63.4,-3.5041278
63.6,-1.9486816
63.8,-7.4123019
64,-23.42973
64.2,-4.7026701
64.4,-1.1508999
64.6,-4.5094478
64.8,-11.870469
65,0.29274884
65.2,1.7643979
65.4,7.1908089
65.6,14.535972
65.8,2.6612888
66,1.6313009
66.2,7.6893407
66.4,22.693735
66.6,1.8775905
66.8,-0.30587538
67,-1.1186092
67.2,-3.7820939
67.4,-0.72520377
67.6,-0.25052162
67.8,-0.95765041
68,-4.418809
68.2,-1.8445348
68.4,-5.5715952
68.6,-21.243301
68.8,-7.7117197
69,-0.74223121
69.2,-1.844477
69.4,-9.713707
69.6,-2.8432919
69.8,1.8745725
70,6.0651606
70.2,14.38772
70.4,4.3362196
70.6,1.8874819
70.8,7.1306055
71,14.603155
71.2,2.6981266
71.4,1.6304626
71.6,7.6624171
71.8,22.710798
72,1.8969838
72.2,-0.30234977
72.4,-1.1072535
72.6,-3.7906113
72.8,-0.73373531
73,-0.24513802
73.2,-0.9246461
73.4,-4.4434341
73.6,-1.8868956
73.8,-5.623162
74,-21.202781
74.2,-7.7058665
74.4,-0.6850705
74.6,-1.5649677
74.8,-8.6407482
75,-4.242131
75.2,1.9189319
75.4,5.9929687
75.6,14.124993
75.8,4.6932562
76,2.3824742
76.2,8.4580457
76.4,12.896897
76.6,2.0840887
76.8,0.29872744
77,1.3665127
77.2,8.9969343
77.4,13.119548
77.6,5.2039786
77.8,11.283244
78,14.728743
78.2,4.8646877
78.4,7.9055653
78.6,17.472108
78.8,6.1470605
79,4.870104
79.2,14.498598
79.4,11.283073
79.6,2.9326667
79.8,7.2750984
80,19.741907
80.2,4.5229167
80.4,1.7619464
80.6,7.1761147
80.8,22.081055
81,2.7778121
81.2,-0.077816856
81.4,-0.47375797
81.6,-3.1538013
81.8,-2.3318773
82,-2.1931825
82.2,-9.5670829
82.4,-22.196397
82.6,-3.0045348
82.8,-1.8771821
83,-7.7553333
83.2,-5.8306756
83.4,0.26377469
83.6,0.97595952
83.8,4.9466919
84,17.300793
84.2,4.5674259
84.4,5.5140162
84.6,16.898023
84.8,8.4244754
85,2.3644005
85.2,7.3148098
85.4,20.661616
85.6,3.6920301
85.8,0.3975412
86,1.5586284
86.2,9.7535952
86.4,20.134814
86.6,0.72995565
86.8,-0.73735779
87,-2.3712614
87.2,-2.2613351
87.4,-0.685273
87.6,-1.3583335
87.8,-3.3611229
88,-0.82110557
88.2,-0.63812431
88.4,-2.70471
88.6,-2.1562693
88.8,-0.32283374
89,-0.57654545
89.2,-3.5944423
89.4,-1.8620095
89.6,-1.7244048
89.8,-8.0710867
90,-24.278483
90.2,-3.7294104
90.4,-2.5449973
90.6,-8.9370995
90.8,-4.012691
91,-0.39046717
91.2,-1.777312
91.4,-8.8236372
91.6,-4.1018398
91.8,1.1125062
92,3.9790927
92.2,14.121584
92.4,6.706428
92.6,0.54508461
92.8,0.22134916
93,1.3181848
93.2,9.5490564
93.4,12.633221
93.6,6.1747878
93.8,12.410498
94,12.827221
94.2,5.6628653
94.4,10.147801
94.6,15.450774
94.8,5.7944391
95,7.6792472
95.2,16.646685
95.4,7.2178306
95.6,5.4331867
95.8,14.375019
96,11.128625
96.2,3.8706692
96.4,9.3164608
96.6,17.708479
96.8,4.1497765
97,4.3797093
97.2,15.350934
97.4,10.517904
97.6,1.5838992
97.8,3.7762976
98,17.083548
98.2,8.7678123
98.4,0.27234315
98.6,-0.28921118
98.8,-1.4053794
99,-3.9218092
99.2,-1.3572428
99.4,-4.6762148
99.6,-20.861294
99.8,-8.5514257
100,-1.5124881
100.2,-4.5417672
100.4,-11.251669
100.6,-0.31398434
100.8,0.11888656
101,0.55242178
101.2,3.5388133
101.4,18.183183
101.6,6.5277584
101.8,7.6618245
102,16.082887
102.2,7.8842829
102.4,5.751498
102.6,14.1557
102.8,11.191452
103,4.4282376
103.2,10.169601
103.4,16.445377
103.6,4.3758054
103.8,5.877851
104,17.351999
104.2,7.7438006
104.4,2.7276258
104.6,8.7282628
104.8,19.499867
105,3.0037815
105.2,1.1973041
105.4,5.5114356
105.6,22.956425
105.8,3.5949771
106,-0.19977994
106.2,-0.85774666
106.4,-3.6606748
106.6,-1.145158
106.8,-0.2547455
107,-0.75535562
107.2,-4.3160689
107.4,-1.652576
107.6,-3.8999846
107.8,-17.141156
108,-12.020818
108.2,-1.2352609
108.4,-2.286789
108.6,-10.313618
108.8,-2.3100766
109,1.0052357
109.2,3.7897184
109.4,14.485658
109.6,6.6522053
109.8,1.1322524
110,3.7048319
110.2,18.52471
110.4,7.3957012
110.6,0.040629913
110.8,-0.61309951
111,-2.9048329
111.2,-2.0030034
111.4,-0.26026916
111.6,-0.46716017
111.8,-3.2857912
112,-2.3969338
112.2,-3.0330863
112.4,-12.689254
112.6,-17.585758
112.8,-1.927549
113,-1.1595316
113.2,-5.6806677
113.4,-10.011624
113.6,0.96054023
113.8,3.4192354
114,12.020517
114.2,8.7743709
114.4,1.2730623
114.6,2.2808386
114.8,11.06709
115,10.424077
115.2,2.5802452
115.4,7.0284686
115.6,20.472041
115.8,4.1452719
116,0.65944835
116.2,2.7064362
116.4,15.433306
116.6,10.634849
116.8,0.1304404
117,-0.73701641
117.2,-2.8673971
117.4,-1.8619118
117.6,-0.47156951
117.8,-1.1281123
118,-3.7983434
118.2,-0.70711593
118.4,-0.23216329
118.6,-0.87528475
118.8,-4.4953051
119,-2.0383079
119.2,-5.993684
119.4,-21.40866
119.6,-7.2977577
119.8,-0.51560015
120,-0.70458095
120.2,-4.3139133
120.4,-13.303382
120.6,1.7257625
120.8,5.2753932
121,12.563327
121.2,6.9421702
121.4,3.7072503
121.6,9.6490118
121.8,10.905341
122,3.0274145
122.2,5.1005876
122.4,14.168377
122.6,5.6588169
122.8,1.7653543
123,5.9327115
123.2,15.544844
123.4,3.6105868
123.6,1.1873705
123.8,5.1985754
124,22.900107
124.2,3.8170422
124.4,-0.2226783
124.6,-0.92738406
124.8,-3.6172133
125,-1.0855047
125.2,-0.33495919
125.4,-1.1243805
125.6,-4.0820087
125.8,-0.85533408
126,-1.7133173
126.2,-9.4043712
126.4,-23.287132
126.6,-3.1964951
126.8,-3.913005
127,-10.104249
127.2,-2.1054958
127.4,-1.6175571
127.6,-6.2415293
127.8,-8.3267321
128,-0.44202133
128.2,-1.1379422
128.4,-5.6910041
128.6,-9.8996001
128.8,0.70077678
129,2.6547483
129.2,10.42336
129.4,10.705488
129.6,1.3337436
129.8,0.13159545
130,0.60230286
130.2,4.4386603
130.4,26.183327
130.6,2.9206674
130.8,-0.79374311
131,-1.9259794
131.2,-2.4772849
131.4,-1.1048778
131.6,-1.5906484
131.8,-2.7926865
132,-1.1839479
132.2,-1.2574291
132.4,-2.9060391
132.6,-1.4217583
132.8,-0.98806724
133,-2.5960794
133.2,-1.9375609
133.4,-0.81392318
133.6,-1.8613909
133.8,-2.7825916
134,-0.78772723
134.2,-1.0944918
134.4,-3.3602802
134.6,-1.1357454
134.8,-0.60183585
135,-2.1686804
135.2,-2.6762062
135.4,-0.41904221
135.6,-0.58177043
135.8,-3.3069382
136,-1.8938984
136.2,-0.34031636
136.4,-1.4732318
136.6,-9.7344207
136.8,-23.246382
137,-3.6308178
137.2,-5.3293702
137.4,-8.5477361
137.6,-2.2557273
137.8,-3.6306515
138,-9.1870111
138.2,-3.1537894
138.4,-2.2039286
138.6,-6.9792235
138.8,-6.7328457
139,-1.2334474
139.2,-3.513574
139.4,-10.564913
139.6,-1.8371227
139.8,-0.90305082
140,-4.0471062
140.2,-11.938061
140.4,-0.21894258
140.6,0.77101084
140.8,3.3640742
141,15.206132
141.2,6.7858247
141.4,3.3766806
141.6,11.260394
141.8,16.242482
142,2.106688
142.2,2.040574
142.4,9.7472522
142.6,19.52126
142.8,1.2413077
143,-0.27217982
143.2,-1.0470636
143.4,-3.9995567
143.6,-0.73850127
143.8,-0.054782631
144,-0.13093909
144.2,-0.98940931
144.4,-5.3512319
144.6,-5.9793144
144.8,-14.773938
145,-13.371112
145.2,-5.1126583
145.4,-10.507899
145.6,-18.360499
145.8,-5.6013227
146,-6.1228081
146.2,-18.079894
146.4,-10.065707
146.6,-3.0835039
146.8,-8.7969231
147,-21.432034
147.2,-4.5581192
147.4,-1.2420955
147.6,-5.251211
147.8,-23.512989
148,-6.6253737
148.2,-2.2310695
148.4,-7.1324807
148.6,-6.7554518
148.8,-0.55672546
149,-1.8369845
149.2,-8.4405899
149.4,-4.7205775
149.6,0.53608491
149.8,2.0768421
150,9.7548222
150.2,11.76119
150.4,2.2749979
150.6,5.192684
150.8,19.40195
151,6.2250239
151.2,0.27618358
151.4,-0.051761994
151.6,-0.2381136
151.8,-2.5657565
152,-4.3601976
152.2,-7.4055706
152.4,-18.01118
152.6,-9.2765859
152.8,-4.9796727
153,-13.496442
153.2,-15.48289
153.4,-3.9391769
153.6,-6.8785804
153.8,-20.360069
154,-7.4795233
154.2,-2.1814447
154.4,-7.5269272
154.6,-23.132447
154.8,-4.7525657
155,-0.87842249
155.2,-3.3784164
155.4,-12.875836
155.6,0.096723653
155.8,2.2167172
156,7.9689404
156.2,13.311248
156.4,2.473549
156.6,1.0435184
156.8,4.812946
157,17.113975
157.2,4.6120887
157.4,4.8472042
157.6,15.959819
157.8,9.6992423
158,1.8577507
158.2,5.1062288
158.4,19.847479
158.6,5.8858634
158.8,0.17947724
159,-0.16216492
159.2,-0.79115137
159.4,-4.7697389
159.6,-3.0741681
159.8,-8.8660269
160,-20.804234
160.2,-5.0836428
160.4,-2.5087775
160.6,-10.032513
160.8,-21.274575
161,-2.9193688
161.2,-1.1094983
161.4,-4.9998977
161.6,-11.300786
161.8,0.67164563
162,2.6752479
162.2,10.121583
162.4,10.969137
162.6,1.4813381
