time,x,y,z
0,-13.21006,-3.5446501,5.0750159
0.2,-16.751138,0.78341005,46.179372
0.4,-4.5197996,6.6414016,26.063024
0.6,-6.7216165,11.753965,23.980163
0.8,-5.7292455,12.165178,30.878896
1,-3.5829799,7.5975606,25.816604
1.2,-6.2442543,10.96076,23.006934
1.4,-6.4277071,13.101048,30.692957
1.6,-3.3878781,7.5835157,26.80884
1.8,-5.6649319,9.9577471,22.349623
2,-7.1740135,13.93138,29.872053
2.2,-3.3135796,7.848673,28.049973
2.4,-4.9876584,8.8665498,22.037871
2.6,-7.7969764,14.414817,28.27511
2.8,-3.435784,8.5018989,29.527063
3,-4.2639258,7.779119,22.160192
3.2,-8.0502901,14.249469,25.975384
3.4,-3.8793013,9.6675923,31.142366
3.6,-3.5493272,6.8051615,22.796033
3.8,-7.7135757,13.215444,23.364677
4,-4.8319736,11.448305,32.552403
4.2,-2.9058557,6.0920593,24.032105
4.4,-6.7409747,11.345607,21.080892
4.6,-6.45519,13.763693,32.850389
4.8,-2.425894,5.8879342,25.988788
5,-5.3212846,8.9714047,19.750977
5.2,-8.4102244,15.825485,30.466424
5.4,-2.3047878,6.6519168,28.841742
5.6,-3.7716161,6.5795163,19.778871
5.8,-9.1722189,15.62679,24.791839
6,-3.0726479,9.12093,32.646232
6.2,-2.3713639,4.6550861,21.395877
6.4,-7.3068912,11.838202,18.859728
6.6,-6.1711925,14.14146,35.312434
6.8,-1.3634526,3.9540291,24.996448
7,-3.9967132,6.5100475,16.683702
7.2,-10.51817,17.95613,26.772777
7.4,-1.5602708,6.9209033,31.891895
7.6,-1.28789,2.5241709,19.178258
7.8,-5.4974035,8.5292877,13.904124
8,-9.8660019,18.98659,34.972825
8.2,-0.090423544,3.5149258,27.871624
8.4,0.10556288,0.24455663,16.234445
8.6,0.52979797,0.67147223,9.5386028
8.8,3.5218155,4.5567542,6.1886223
9,18.392715,21.73985,26.888717
9.2,6.6498865,0.22876093,32.097602
9.4,7.993015,-3.3642403,21.073553
9.6,15.897543,-7.2120744,26.534683
9.8,7.8008218,-5.2272143,31.231701
10,6.2073806,-3.022559,21.668644
10.2,14.55859,-6.2425768,22.356472
10.4,10.474747,-6.5941683,33.619905
10.6,4.8699127,-2.7279707,23.509091
10.8,11.271185,-4.712088,19.12539
11,14.975279,-7.9904229,33.486844
11.2,4.4310053,-3.1012649,26.705499
11.4,7.2768829,-3.1082083,18.173227
11.6,17.958458,-7.9351771,26.524436
11.8,6.2100828,-4.8956551,31.847832
12,3.9045422,-1.9172159,19.937416
12.2,12.651941,-5.0594538,17.106289
12.4,14.014026,-8.2842654,36.584931
12.6,2.3564713,-2.007349,25.036612
12.8,4.2073,-1.7313,15.374583
13,17.004129,-6.6940555,17.87025
13.2,8.7656538,-7.1172358,37.458964
13.4,0.46870187,-0.97558143,21.86255
13.6,-0.048384706,-1.1248931,12.840516
13.8,-0.22719216,-6.3035245,8.3128164
14,-2.2173136,-26.982416,27.914714
14.2,-4.3330906,-3.9240396,31.687024
14.4,-6.6702726,-1.6389879,19.654502
14.6,-17.466169,-4.0076231,23.282662
14.8,-10.303846,-0.093463919,33.663473
15,-4.39961,-0.59317403,21.711104
15.2,-11.6955,-2.9097604,17.236325
15.4,-17.797254,-2.4061376,34.932428
15.6,-4.1037225,0.2512403,26.530046
15.8,-5.0647829,-1.1794154,16.569535
16,-17.987037,-4.5097217,19.701611
16.2,-10.704943,0.46937096,36.229892
16.4,-1.4216635,0.12336417,21.545888
16.6,-2.9693986,-0.7716977,12.895089
16.8,-15.138054,-4.1685506,12.974925
