time,A,B
0.000000000000000000e+00,"(1.0, 1.0)","(1.0, 1.0)"
1.000000000000000056e-01,"(1.6251, 1.7977)","(3.7995, 4.5818)"
2.000000000000000111e-01,"(3.3222, 3.786)","(14.7797, 17.8994)"
3.000000000000000444e-01,"(7.3892, 8.4943)","(28.1752, 30.1548)"
4.000000000000000222e-01,"(14.6653, 16.4971)","(17.0796, 5.6925)"
5.000000000000000000e-01,"(14.8889, 14.3632)","(17.1408, 1.5651)"
6.000000000000000888e-01,"(7.0061, 4.3755)","(19.1727, 0.4311)"
7.000000000000000666e-01,"(2.7852, 0.9552)","(15.8916, -0.3712)"
8.000000000000000444e-01,"(2.548, 0.2627)","(12.5422, -0.3452)"
9.000000000000000222e-01,"(4.3515, 0.2642)","(13.815, 0.1757)"
1.000000000000000000e+00,"(8.683, 0.552)","(18.6542, 0.5572)"
1.100000000000000089e+00,"(17.2113, 1.0504)","(20.1398, 0.1076)"
1.200000000000000178e+00,"(22.6755, 0.5395)","(14.5932, -0.657)"
1.300000000000000044e+00,"(12.2826, -1.3755)","(11.2243, -0.3318)"
1.400000000000000133e+00,"(4.3593, -1.1555)","(13.9179, 0.3368)"
1.500000000000000000e+00,"(1.151, -0.4195)","(20.3871, 0.7412)"
1.600000000000000089e+00,"(0.296, -0.1712)","(20.5513, -0.0812)"
1.700000000000000178e+00,"(0.3272, -0.2742)","(12.7631, -0.9056)"
1.800000000000000044e+00,"(0.7134, -0.6168)","(9.6289, -0.2841)"
1.900000000000000133e+00,"(1.774, -1.5227)","(13.7444, 0.5)"
2.000000000000000000e+00,"(4.6837, -3.9971)","(22.3255, 0.9893)"
2.100000000000000089e+00,"(12.1417, -10.3979)","(21.1618, -0.2916)"
2.200000000000000178e+00,"(20.9588, -19.0506)","(10.8819, -1.2118)"
2.300000000000000266e+00,"(8.5908, -11.546)","(7.3549, -0.2968)"
2.400000000000000355e+00,"(1.9178, -6.0021)","(11.9761, 0.56)"
2.500000000000000000e+00,"(0.5361, -5.9465)","(23.2807, 1.343)"
2.600000000000000089e+00,"(0.396, -8.5029)","(24.175, -0.1456)"
2.700000000000000178e+00,"(0.589, -13.1854)","(10.19, -1.8096)"
2.800000000000000266e+00,"(0.5281, -17.772)","(3.9797, -0.5713)"
2.900000000000000355e+00,"(-0.3312, -15.4065)","(5.5169, 0.225)"
3.000000000000000000e+00,"(-0.743, -9.173)","(14.1633, 1.0739)"
3.100000000000000089e+00,"(-0.3389, -5.9906)","(31.6445, 2.0443)"
3.200000000000000178e+00,"(0.0728, -6.5152)","(19.444, -2.0336)"
3.300000000000000266e+00,"(0.4162, -9.9609)","(6.8783, -3.157)"
3.400000000000000355e+00,"(0.691, -15.7091)","(4.7409, -3.7571)"
3.500000000000000000e+00,"(0.2803, -18.5122)","(9.345, -8.0656)"
3.600000000000000089e+00,"(-0.7279, -12.7169)","(20.3738, -17.8435)"
3.700000000000000178e+00,"(-0.6781, -6.8954)","(16.2022, -17.3467)"
3.800000000000000266e+00,"(-0.1715, -5.1165)","(3.9836, -7.5758)"
3.900000000000000355e+00,"(0.1992, -6.7729)","(0.7559, -2.7769)"
4.000000000000000000e+00,"(0.5544, -11.3158)","(0.3384, -3.6744)"
4.100000000000000533e+00,"(0.771, -17.8105)","(0.8267, -9.919)"
4.200000000000000178e+00,"(-0.0365, -18.1605)","(2.2653, -28.1359)"
4.299999999999999822e+00,"(-0.9568, -10.4195)","(-0.7009, -28.2407)"
4.400000000000000355e+00,"(-0.5815, -5.2756)","(-4.6963, -10.2505)"
4.500000000000000000e+00,"(-0.0748, -4.3549)","(-6.0361, -7.5416)"
4.600000000000000533e+00,"(0.2623, -6.5496)","(-10.9938, -12.4535)"
4.700000000000000178e+00,"(0.6406, -11.7563)","(-17.457, -18.9226)"
4.800000000000000711e+00,"(0.8689, -19.1015)","(-13.0563, -11.4167)"
4.900000000000000355e+00,"(-0.1948, -18.3117)","(-6.0463, -4.4172)"
5.000000000000000000e+00,"(-1.1287, -9.3293)","(-4.1601, -4.0673)"
5.100000000000000533e+00,"(-0.5902, -4.1246)","(-7.9879, -9.0517)"
5.200000000000000178e+00,"(-0.076, -3.1191)","(-17.3501, -19.7545)"
5.300000000000000711e+00,"(0.2153, -4.93)","(-17.4791, -16.5682)"
5.400000000000000355e+00,"(0.5736, -9.5512)","(-7.6896, -4.2938)"
5.500000000000000000e+00,"(1.0228, -17.9478)","(-2.3664, -0.8383)"
5.600000000000000533e+00,"(0.3069, -21.4978)","(-1.8629, -0.2196)"
5.700000000000000178e+00,"(-1.328, -11.2908)","(-4.8594, -0.4148)"
5.800000000000000711e+00,"(-0.9577, -4.1516)","(-15.8011, -1.4101)"
5.900000000000000355e+00,"(-0.2553, -1.3788)","(-38.8489, -2.6172)"
6.000000000000000000e+00,"(0.0058, -1.2442)","(-16.6678, 4.1961)"
6.100000000000000533e+00,"(0.145, -2.451)","(-9.5486, 6.5596)"
6.200000000000000178e+00,"(0.3884, -5.5282)","(-11.564, 10.1923)"
6.300000000000000711e+00,"(0.9347, -12.9563)","(-16.244, 15.0587)"
6.400000000000000355e+00,"(1.3506, -24.5144)","(-13.0555, 13.7207)"
6.500000000000000000e+00,"(-0.9999, -18.212)","(-6.9608, 8.2601)"
6.600000000000000533e+00,"(-2.0422, -6.4711)","(-6.4577, 6.5981)"
6.700000000000000178e+00,"(-1.8, -2.7539)","(-11.1852, 10.1897)"
6.800000000000000711e+00,"(-2.7935, -3.2013)","(-18.0135, 16.5276)"
6.900000000000000355e+00,"(-4.9267, -5.5199)","(-13.0538, 14.1611)"
7.000000000000000000e+00,"(-9.2153, -10.3528)","(-5.3752, 7.1016)"
7.100000000000000533e+00,"(-14.2908, -15.4508)","(-4.432, 4.655)"
7.200000000000000178e+00,"(-11.8428, -10.8498)","(-9.0325, 8.0679)"
7.300000000000000711e+00,"(-5.794, -4.1492)","(-18.8172, 16.6282)"
7.400000000000000355e+00,"(-2.3098, -1.678)","(-16.6982, 17.3267)"
7.500000000000000000e+00,"(-1.6615, -1.6272)","(-4.8599, 7.8506)"
7.600000000000000533e+00,"(-2.7293, -3.0233)","(-1.273, 2.237)"
7.700000000000000178e+00,"(-5.572, -6.343)","(-1.2541, 1.2325)"
7.800000000000000711e+00,"(-11.4258, -12.9635)","(-3.8549, 3.2842)"
7.900000000000000355e+00,"(-16.0551, -16.9089)","(-12.5456, 10.5081)"
