time,A,B
0.000000000000000000e+00,"(1.0, 1.0)","(1.0, 1.0)"
1.000000000000000056e-01,"(3.7995, 4.5818)","(4.0206, 4.3891)"
2.000000000000000111e-01,"(14.7797, 17.8994)","(15.6625, 17.1323)"
3.000000000000000444e-01,"(28.1752, 30.1548)","(28.7122, 29.6439)"
4.000000000000000222e-01,"(17.0796, 5.6925)","(15.1842, 9.6726)"
5.000000000000000000e-01,"(17.1408, 1.5651)","(15.4332, 7.6204)"
6.000000000000000888e-01,"(19.1727, 0.4311)","(17.4606, 7.9314)"
7.000000000000000666e-01,"(15.8916, -0.3712)","(14.6112, 6.2605)"
8.000000000000000444e-01,"(12.5422, -0.3452)","(11.5426, 4.9189)"
9.000000000000000222e-01,"(13.815, 0.1757)","(12.6053, 5.6562)"
1.000000000000000000e+00,"(18.6542, 0.5572)","(16.9647, 7.7773)"
1.100000000000000089e+00,"(20.1398, 0.1076)","(18.4035, 8.1813)"
1.200000000000000178e+00,"(14.5932, -0.657)","(13.4852, 5.6162)"
1.300000000000000044e+00,"(11.2243, -0.3318)","(10.3345, 4.3924)"
1.400000000000000133e+00,"(13.9179, 0.3368)","(12.6709, 5.768)"
1.500000000000000000e+00,"(20.3871, 0.7412)","(18.5186, 8.5581)"
1.600000000000000089e+00,"(20.5513, -0.0812)","(18.8157, 8.2662)"
1.700000000000000178e+00,"(12.7631, -0.9056)","(11.8707, 4.7753)"
1.800000000000000044e+00,"(9.6289, -0.2841)","(8.8654, 3.7683)"
1.900000000000000133e+00,"(13.7444, 0.5)","(12.4847, 5.7698)"
2.000000000000000000e+00,"(22.3255, 0.9893)","(20.2508, 9.4506)"
2.100000000000000089e+00,"(21.1618, -0.2916)","(19.4155, 8.4228)"
2.200000000000000178e+00,"(10.8819, -1.2118)","(10.2333, 3.8941)"
2.300000000000000266e+00,"(7.3549, -0.2968)","(6.7889, 2.8449)"
2.400000000000000355e+00,"(11.9761, 0.56)","(10.8585, 5.0827)"
2.500000000000000000e+00,"(23.2807, 1.343)","(21.0692, 9.9941)"
2.600000000000000089e+00,"(24.175, -0.1456)","(22.1431, 9.7022)"
2.700000000000000178e+00,"(10.19, -1.8096)","(9.7806, 3.3839)"
2.800000000000000266e+00,"(3.9797, -0.5713)","(3.7785, 1.3737)"
2.900000000000000355e+00,"(5.5169, 0.225)","(5.0073, 2.3267)"
3.000000000000000000e+00,"(14.1633, 1.0739)","(12.7811, 6.1963)"
3.100000000000000089e+00,"(31.6445, 2.0443)","(28.6064, 13.6832)"
3.200000000000000178e+00,"(19.444, -2.0336)","(18.2498, 7.0105)"
3.300000000000000266e+00,"(6.8783, -3.157)","(7.3967, 1.6021)"
3.400000000000000355e+00,"(4.7409, -3.7571)","(6.0186, 0.6065)"
3.500000000000000000e+00,"(9.345, -8.0656)","(12.3042, 0.9954)"
3.600000000000000089e+00,"(20.3738, -17.8435)","(27.002, 2.0917)"
3.700000000000000178e+00,"(16.2022, -17.3467)","(23.7257, 0.7156)"
3.800000000000000266e+00,"(3.9836, -7.5758)","(8.5202, -0.8169)"
3.900000000000000355e+00,"(0.7559, -2.7769)","(2.8216, -0.5671)"
4.000000000000000000e+00,"(0.3384, -3.6744)","(3.5461, -1.0204)"
4.100000000000000533e+00,"(0.8267, -9.919)","(9.5539, -2.7915)"
4.200000000000000178e+00,"(2.2653, -28.1359)","(27.0836, -7.9523)"
4.299999999999999822e+00,"(-0.7009, -28.2407)","(26.6783, -9.2895)"
4.400000000000000355e+00,"(-4.6963, -10.2505)","(9.7534, -5.6568)"
4.500000000000000000e+00,"(-6.0361, -7.5416)","(7.7421, -5.7767)"
4.600000000000000533e+00,"(-10.9938, -12.4535)","(13.0851, -10.234)"
4.700000000000000178e+00,"(-17.457, -18.9226)","(20.1147, -16.069)"
4.800000000000000711e+00,"(-13.0563, -11.4167)","(12.9878, -11.4946)"
4.900000000000000355e+00,"(-6.0463, -4.4172)","(5.3982, -5.1894)"
5.000000000000000000e+00,"(-4.1601, -4.0673)","(4.4562, -3.7405)"
5.100000000000000533e+00,"(-7.9879, -9.0517)","(9.5099, -7.4365)"
5.200000000000000178e+00,"(-17.3501, -19.7545)","(20.7293, -16.1729)"
5.300000000000000711e+00,"(-17.4791, -16.5682)","(18.3333, -15.6178)"
5.400000000000000355e+00,"(-7.6896, -4.2938)","(5.9895, -6.457)"
5.500000000000000000e+00,"(-2.3664, -0.8383)","(1.5559, -1.9702)"
5.600000000000000533e+00,"(-1.8629, -0.2196)","(1.0018, -1.5859)"
5.700000000000000178e+00,"(-4.8594, -0.4148)","(2.542, -4.1622)"
5.800000000000000711e+00,"(-15.8011, -1.4101)","(8.293, -13.5237)"
5.900000000000000355e+00,"(-38.8489, -2.6172)","(20.014, -33.3995)"
6.000000000000000000e+00,"(-16.6678, 4.1961)","(6.5686, -15.8832)"
6.100000000000000533e+00,"(-9.5486, 6.5596)","(2.5839, -11.2928)"
6.200000000000000178e+00,"(-11.564, 10.1923)","(2.581, -15.1969)"
6.300000000000000711e+00,"(-16.244, 15.0587)","(3.4504, -21.8798)"
6.400000000000000355e+00,"(-13.0555, 13.7207)","(2.3972, -18.7872)"
6.500000000000000000e+00,"(-6.9608, 8.2601)","(1.0626, -10.7495)"
6.600000000000000533e+00,"(-6.4577, 6.5981)","(1.2292, -9.1502)"
6.700000000000000178e+00,"(-11.1852, 10.1897)","(2.4181, -14.9362)"
6.800000000000000711e+00,"(-18.0135, 16.5276)","(3.8666, -24.1391)"
6.900000000000000355e+00,"(-13.0538, 14.1611)","(2.2954, -19.1225)"
7.000000000000000000e+00,"(-5.3752, 7.1016)","(0.6576, -8.8822)"
7.100000000000000533e+00,"(-4.432, 4.655)","(0.8144, -6.3756)"
7.200000000000000178e+00,"(-9.0325, 8.0679)","(1.9907, -11.9463)"
7.300000000000000711e+00,"(-18.8172, 16.6282)","(4.1896, -24.7594)"
7.400000000000000355e+00,"(-16.6982, 17.3267)","(3.1172, -23.8606)"
7.500000000000000000e+00,"(-4.8599, 7.8506)","(0.2756, -9.229)"
7.600000000000000533e+00,"(-1.273, 2.237)","(0.0321, -2.5736)"
7.700000000000000178e+00,"(-1.2541, 1.2325)","(0.25, -1.7405)"
7.800000000000000711e+00,"(-3.8549, 3.2842)","(0.8874, -4.9858)"
7.900000000000000355e+00,"(-12.5456, 10.5081)","(2.9311, -16.1)"
8.000000000000000000e+00,"(-29.1021, 25.5574)","(6.5173, -38.1789)"
8.099999999999999645e+00,"(-8.51, 14.4486)","(0.3268, -16.7655)"
8.200000000000001066e+00,"(-2.0329, 10.9763)","(-1.611, -11.0461)"
8.300000000000000711e+00,"(-0.9626, 15.0431)","(-3.0084, -14.7705)"
8.400000000000000355e+00,"(-0.9085, 22.3695)","(-4.7085, -21.8871)"
8.500000000000000000e+00,"(0.4521, 19.4539)","(-4.662, -18.8925)"
8.599999999999999645e+00,"(1.0041, 10.6321)","(-2.9032, -10.2773)"
8.700000000000001066e+00,"(0.1465, 8.6081)","(-2.0382, -8.3647)"
8.800000000000000711e+00,"(-0.6804, 14.2783)","(-2.9602, -13.9847)"
8.900000000000000355e+00,"(-1.1737, 24.4967)","(-5.0757, -23.9937)"
9.000000000000000000e+00,"(0.6802, 20.4586)","(-4.9977, -19.8504)"
9.099999999999999645e+00,"(1.3949, 8.9426)","(-2.7076, -8.6363)"
9.200000000000001066e+00,"(0.2608, 5.4455)","(-1.3674, -5.2776)"
9.300000000000000711e+00,"(-0.5538, 10.0269)","(-2.0447, -9.832)"
9.400000000000000355e+00,"(-1.5534, 22.7708)","(-4.5108, -22.3738)"
9.500000000000000000e+00,"(-0.298, 28.0016)","(-6.2747, -27.2907)"
9.600000000000001421e+00,"(2.4953, 10.774)","(-3.6683, -10.4329)"
9.700000000000001066e+00,"(1.2982, 3.0732)","(-1.3575, -3.0473)"
9.800000000000000711e+00,"(0.9342, 1.2808)","(-0.7978, -1.3694)"
9.900000000000000355e+00,"(2.3084, 2.7409)","(-1.9041, -3.0344)"
1.000000000000000000e+01,"(7.3408, 8.7766)","(-6.0642, -9.6987)"
1.010000000000000142e+01,"(21.9895, 25.8756)","(-18.1059, -28.7215)"
1.020000000000000107e+01,"(17.9696, 14.6348)","(-14.0022, -18.4758)"
1.030000000000000071e+01,"(11.9695, 3.082)","(-9.2999, -8.1438)"
1.040000000000000036e+01,"(13.9705, 1.06)","(-11.2693, -8.3248)"
1.050000000000000000e+01,"(20.7344, 0.9086)","(-16.876, -12.0787)"
1.060000000000000142e+01,"(20.7273, -0.0886)","(-17.1233, -11.6793)"
1.070000000000000107e+01,"(12.3903, -0.9689)","(-10.505, -6.6431)"
1.080000000000000071e+01,"(9.1326, -0.2921)","(-7.6161, -5.0505)"
1.090000000000000036e+01,"(13.3854, 0.5167)","(-10.9124, -7.7699)"
1.100000000000000000e+01,"(22.6038, 1.07)","(-18.379, -13.2003)"
1.110000000000000142e+01,"(21.7437, -0.2754)","(-18.0119, -12.1813)"
1.120000000000000107e+01,"(10.6616, -1.3271)","(-9.2028, -5.5457)"
1.130000000000000071e+01,"(6.5914, -0.3464)","(-5.5374, -3.5956)"
1.140000000000000036e+01,"(10.7953, 0.5125)","(-8.7799, -6.3068)"
1.150000000000000000e+01,"(22.4436, 1.4025)","(-18.1728, -13.249)"
1.160000000000000142e+01,"(26.2696, 0.1861)","(-21.6193, -14.9152)"
1.170000000000000107e+01,"(10.9159, -2.0633)","(-9.6791, -5.4484)"
1.180000000000000071e+01,"(3.4547, -0.814)","(-3.1291, -1.6763)"
1.190000000000000036e+01,"(2.8213, 0.0315)","(-2.3245, -1.6106)"
1.200000000000000000e+01,"(7.561, 0.5816)","(-6.111, -4.5189)"
1.210000000000000142e+01,"(22.1933, 1.8445)","(-17.8988, -13.3155)"
1.220000000000000107e+01,"(34.6697, 1.0262)","(-28.3088, -19.9711)"
1.230000000000000071e+01,"(12.3821, -4.3316)","(-11.8396, -5.6028)"
1.240000000000000036e+01,"(7.0837, -5.1654)","(-8.3571, -2.6218)"
1.250000000000000000e+01,"(10.3937, -9.0934)","(-13.3374, -3.5817)"
1.260000000000000142e+01,"(18.0251, -16.2267)","(-23.4764, -6.1372)"
1.270000000000000107e+01,"(14.8237, -15.5765)","(-20.988, -4.6781)"
1.280000000000000071e+01,"(5.4916, -7.6256)","(-9.2757, -1.4488)"
